,title
1940,0.00011426679702708498
1941,0.0001417620078427717
1942,0.00011106292367912829
1943,0.0001269921922357753
1944,0.00010369989468017593
1945,0.00012168676039436832
1946,0.00010248875332763419
1947,0.0001243342412635684
1948,0.0001083956376533024
1949,0.00012388610048219562
1950,0.00010673552606021985
1951,0.00011722891213139519
1952,0.00011251314572291449
1953,0.0001243968727067113
1954,0.000115137045213487
1955,0.00010721224680310115
1956,0.00010663380817277357
1957,0.00011344132508384064
1958,9.747371223056689e-05
1959,0.0001266235631192103
1960,9.564551146468148e-05
1961,0.00010516539623495191
1962,9.385177691001445e-05
1963,0.0001030602797982283
1964,0.00010386869689682499
1965,0.00011937950330320746
1966,0.00010208843741565943
1967,0.00011268088564975187
1968,0.00010308230412192643
1969,0.00010068114352179691
1970,0.00010542175732553005
1971,0.00011237189755775034
1972,0.0001079033681889996
1973,0.0001245137391379103
1974,0.00010579384979791939
1975,0.00011498388630570844
1976,0.00013385736383497715
1977,0.00011063527927035466
1978,0.00011700524191837758
1979,0.00011944970901822671
1980,0.00010411979019409046
1981,0.00010674994700821117
1982,0.0001326844358118251
1983,0.00010999722144333646
1984,9.6615229267627e-05
1985,9.232574666384608e-05
1986,9.426454926142469e-05
1987,9.426329052075744e-05
1988,0.00012282728857826442
1989,0.00011765220551751554
1990,9.56240837695077e-05
1991,9.636220784159377e-05
1992,9.664626850280911e-05
1993,0.00010288706835126504
1994,0.00011350327986292541
1995,0.00018376561638433486
1996,8.890705794328824e-05
1997,9.11689130589366e-05
1998,9.151360427495092e-05
1999,9.079097071662545e-05
2000,9.041239536600187e-05
2001,0.00011077800445491448
2002,8.36310864542611e-05
2003,8.060686377575621e-05
2004,7.911444845376536e-05
2005,7.872266724007204e-05
2006,9.226657130056992e-05
2007,7.654667570022866e-05
2008,9.745729767018929e-05
2009,7.316099799936637e-05
2010,6.507266516564414e-05
2011,5.4902622650843114e-05
2012,6.530876271426678e-05
2013,6.247294368222356e-05
2014,4.6725268475711346e-05
2015,4.6034445404075086e-05
2016,4.7899015044094995e-05
2017,4.064062886754982e-05
2018,4.169623207417317e-05
2019,4.1724553739186376e-05
