,personal
1897,0.00011316515156067908
1898,0.00011576077667996287
1899,0.00011352929141139612
1900,0.00011326091771479696
1901,0.00012089021765859798
1902,0.00011210752563783899
1903,0.00011367694969521835
1904,0.00011498772073537111
1905,0.000117583287646994
1906,0.00011911351612070575
1907,0.00011576868564588949
1908,0.0001140609965659678
1909,0.0001146099966717884
1910,0.00011515896767377853
1911,0.00011345247185090557
1912,0.00011572844960028306
1913,0.00011328609980409965
1914,0.00011845159315271303
1915,0.0001190044276881963
1916,0.00011792025907197967
1917,0.00011781857028836384
1918,0.00011686544166877866
1919,0.00011706613440765068
1920,0.00011436245404183865
1921,0.00011249737144680694
1922,0.00011390211875550449
1923,0.0001097299755201675
1924,0.00010995683987857774
1925,0.00011069801985286176
1926,0.00011170820653205737
1927,0.00011219751468161121
1928,0.00011328302934998646
1929,0.00011387080303393304
1930,0.00011232818360440433
1931,0.00012460030848160386
1932,0.00011718022869899869
1933,0.00011538577382452786
1934,0.00011089645704487339
1935,0.00011556293611647561
1936,0.00011758419714169577
1937,0.00011940547847189009
1938,0.0001171477633761242
1939,0.00012407530448399484
1940,0.000120634249469731
1941,0.00012193121801828966
1942,0.00011906015424756333
1943,0.00011980944691458717
1944,0.00011838867794722319
1945,0.00011839055514428765
1946,0.00011860144877573475
1947,0.00011612298840191215
1948,0.00011751999409170821
1949,0.00011814813478849828
1950,0.00011526034359121695
1951,0.00011702530173351988
1952,0.00011590980284381658
1953,0.00011843828542623669
1954,0.00012233719462528825
1955,0.000120557815534994
1956,0.00011544690642040223
1957,0.00012181676720501855
1958,0.00011700391041813418
1959,0.00012036137195536867
1960,0.00011970153718721122
1961,0.00011748567339964211
1962,0.00011456952051958069
1963,0.00011804537643911317
1964,0.00011410062870709226
1965,0.00011727862147381529
1966,0.00011826998525066301
1967,0.0001216666933032684
1968,0.00012025915930280462
1969,0.0001222616556333378
1970,0.00012066863564541563
1971,0.00012161360791651532
1972,0.0001252824004041031
1973,0.0001227043685503304
1974,0.0001246956380782649
1975,0.00012597338354680687
1976,0.00012522903853096068
1977,0.00012786172737833112
1978,0.00012833907385356724
1979,0.00012726656859740615
1980,0.00012610909470822662
1981,0.00012930409866385162
1982,0.00013129452418070287
1983,0.00012850624625571072
1984,0.00013292228686623275
1985,0.00013159298396203667
1986,0.00013206544099375606
1987,0.00013284114538691938
1988,0.0001320617739111185
1989,0.00013201049296185374
1990,0.00012977077858522534
1991,0.00012987438822165132
1992,0.0001330170052824542
1993,0.00013334558752831072
1994,0.00013765215408056974
1995,0.000133552573970519
1996,0.0001376344880554825
1997,0.0001408864336553961
1998,0.00014260447642300278
1999,0.00014440517406910658
2000,0.00014322498464025557
2001,0.0001443915971321985
2002,0.00014570236089639366
2003,0.00014323362847790122
2004,0.00014423835091292858
2005,0.00014432537136599422
2006,0.0001439965853933245
2007,0.00014288330567069352
2008,0.00014064027345739305
2009,0.00014165918400976807
2010,0.00013987610873300582
2011,0.00013307449989952147
2012,0.00012221455108374357
2013,0.0001300327421631664
2014,0.00012977754522580653
2015,0.00013023681822232902
2016,0.00013684856821782887
2017,0.00012166710803285241
2018,0.00011643643665593117
2019,0.00011980267299804837
