,call
1932,0.00010553765605436638
1933,0.00010312099766451865
1934,0.00010540992661844939
1935,0.00010632821795297787
1936,0.00010646516602719203
1937,0.0001012733846437186
1938,0.00010097161430167034
1939,0.00010359531734138727
1940,9.994066203944385e-05
1941,0.00010330013174097985
1942,0.00010287087206961587
1943,0.00010748563363449648
1944,0.0001041958385030739
1945,0.00010551451850915328
1946,0.00010480877972440794
1947,0.00010548550199018791
1948,0.00010346328053856269
1949,9.961553587345406e-05
1950,0.0001030032362905331
1951,0.00010657130042091012
1952,0.0001063730160240084
1953,0.00010354708501836285
1954,0.00010217980889137834
1955,0.00010589303565211594
1956,0.00010392970580141991
1957,0.00010281538561685011
1958,9.95037189568393e-05
1959,9.815907833399251e-05
1960,9.60226752795279e-05
1961,9.86139421002008e-05
1962,9.694055188447237e-05
1963,9.841971768764779e-05
1964,9.943799523171037e-05
1965,0.00010054600716102868
1966,0.0001000202028080821
1967,0.00010264489537803456
1968,0.00010357736755395308
1969,0.00010247210593661293
1970,0.00010200485121458769
1971,9.797300299396738e-05
1972,9.730325837153941e-05
1973,9.884237078949809e-05
1974,9.926463098963723e-05
1975,9.586576197762042e-05
1976,9.966099605662748e-05
1977,9.505285561317578e-05
1978,9.511789539828897e-05
1979,9.674383909441531e-05
1980,9.742429392645136e-05
1981,0.0001002075950964354
1982,0.00010086578549817204
1983,0.00010392468539066613
1984,0.00010547155397944152
1985,0.00011236613499931991
1986,0.00011193998216185719
1987,0.00011274742428213358
1988,0.00011330258712405339
1989,0.00012113773846067488
1990,0.00011461030226200819
1991,0.00012072238314431161
1992,0.0001176428486360237
1993,0.0001195884178741835
1994,0.00012491327652242035
1995,0.00012344347487669438
1996,0.0001278950076084584
1997,0.00013064409722574055
1998,0.00013169441081117839
1999,0.0001323610485997051
2000,0.00013857672456651926
2001,0.00014090743206907064
2002,0.00014676353021059185
2003,0.00014501030091196299
2004,0.00014415380428545177
2005,0.0001487285626353696
2006,0.00014855797053314745
2007,0.0001507308625150472
2008,0.00015740377421025187
2009,0.00016780340229161084
2010,0.0001713026431389153
2011,0.00017893959011416882
2012,0.00016380097076762468
2013,0.0001607816811883822
2014,0.00018286766135133803
2015,0.00017676227435003966
2016,0.00016743211017455906
2017,0.00017375672177877277
2018,0.00016904489893931895
2019,0.00017372850561514497
