,low
1871,9.684834367362782e-05
1872,9.361891716253012e-05
1873,9.832517389440909e-05
1874,0.00010121978993993253
1875,0.00010214110079687089
1876,0.0001053901796694845
1877,0.00010371237294748425
1878,0.00010672900680219755
1879,0.00010371737880632281
1880,0.00010639212268870324
1881,0.00010335158731322736
1882,0.00010895180457737297
1883,0.00010912791185546666
1884,0.00010958779603242874
1885,0.00011513094796100631
1886,0.00010944262612611055
1887,0.00010867533273994923
1888,0.00010981058585457504
1889,0.0001114785045501776
1890,0.00011448440636740997
1891,0.00011360114876879379
1892,0.00011805276881204918
1893,0.00011635311966529116
1894,0.00012091396638425067
1895,0.00011509971227496862
1896,0.00011440084199421108
1897,0.00011177228589076549
1898,0.00011592009104788303
1899,0.00011155322863487527
1900,0.00011595633259275928
1901,0.0001091471131076105
1902,0.00011517638631630689
1903,0.00011547949543455616
1904,0.00011827933485619724
1905,0.00011823836393887177
1906,0.00011835961049655452
1907,0.00012041226000292227
1908,0.00012436654651537538
1909,0.00013057664909865707
1910,0.00012882637383881956
1911,0.0001302582968492061
1912,0.00012997721205465496
1913,0.00013430765829980373
1914,0.00013271062925923616
1915,0.00013510756252799183
1916,0.0001379187306156382
1917,0.00013172641047276556
1918,0.00013256739475764334
1919,0.00013513231533579528
1920,0.00014386420662049204
1921,0.00014757404278498143
1922,0.00015185706433840096
1923,0.00015093346883077174
1924,0.00014770559209864587
1925,0.00015484476170968264
1926,0.00015629544213879853
1927,0.00015283096581697464
1928,0.00015512410027440637
1929,0.0001539033546578139
1930,0.0001649856276344508
1931,0.00016443707863800228
1932,0.00017484949785284698
1933,0.00016849683015607297
1934,0.00016930380661506206
1935,0.00016910770500544459
1936,0.00016416788275819272
1937,0.00016798650904092938
1938,0.00017451569146942347
1939,0.00017161856521852314
1940,0.0001774618576746434
1941,0.0001689455530140549
1942,0.00017115358787123114
1943,0.00016862877237144858
1944,0.0001848835963755846
1945,0.0001765172928571701
1946,0.00017787108663469553
1947,0.0001790551032172516
1948,0.0001888206461444497
1949,0.0001957559579750523
1950,0.00019352056551724672
1951,0.00018740567611530423
1952,0.00018732663011178374
1953,0.00019267234893050045
1954,0.0001979889057110995
1955,0.00020032194152008742
1956,0.00020177524129394442
1957,0.000199585483642295
1958,0.00020726403454318643
1959,0.00020670719095505774
1960,0.00021065249165985733
1961,0.00020852532179560512
1962,0.00021531891252379864
1963,0.00021286933042574674
1964,0.00021125091006979346
1965,0.00020967485033906996
1966,0.00020695036801043898
1967,0.0002037418889813125
1968,0.0002074079675367102
1969,0.0002060585393337533
1970,0.00020909645536448807
1971,0.00021364976419135928
1972,0.00022234435891732574
1973,0.00021708037820644677
1974,0.00022644952696282417
1975,0.00023037120990920812
1976,0.00023131468333303928
1977,0.00023450797016266733
1978,0.00023868893913459033
1979,0.0002406332059763372
1980,0.000246188574237749
1981,0.0002437384973745793
1982,0.000241667905356735
1983,0.00024700714857317507
1984,0.00024276036128867418
1985,0.00024055643007159233
1986,0.00024508332717232406
1987,0.00024094792024698108
1988,0.00023458201030734926
1989,0.00022867639199830592
1990,0.0002352791343582794
1991,0.0002307028480572626
1992,0.00022582183009944856
1993,0.00022313919907901436
1994,0.000223783019464463
1995,0.00021987703803461045
1996,0.00021707512496504933
1997,0.00021249617566354573
1998,0.00021043904416728765
1999,0.00020223672618158162
2000,0.0001996988576138392
2001,0.0001980749366339296
2002,0.00019404900376684964
2003,0.000195538712432608
2004,0.0001972396858036518
2005,0.0002003672270802781
2006,0.00019325193716213107
2007,0.0001891492574941367
2008,0.00018456402176525444
2009,0.00018119816377293319
2010,0.00017784784722607583
2011,0.00018431722128298134
2012,0.0002139842399628833
2013,0.00019803282339125872
2014,0.0001727135240798816
2015,0.00017404844402335584
2016,0.00017942945123650134
2017,0.00017602309526409954
2018,0.000173123917193152
2019,0.00017992363427765667
