,great
1976,0.00026384397642686963
1977,0.0002482668496668339
1978,0.00023949854949023575
1979,0.0002340626233490184
1980,0.00023242458701133728
1981,0.0002225169591838494
1982,0.0002198748115915805
1983,0.00022066458768676966
1984,0.00022195013298187405
1985,0.0002123078884324059
1986,0.00021470706269610673
1987,0.0002123194863088429
1988,0.00021139695309102535
1989,0.00020704201597254723
1990,0.0002083348372252658
1991,0.0002047786401817575
1992,0.00020484453125391155
1993,0.0002025561116170138
1994,0.0002011602045968175
1995,0.00020112858328502625
1996,0.0002117771073244512
1997,0.00020943042181897908
1998,0.00021824325085617602
1999,0.00022429399541579187
2000,0.00023078308731783181
2001,0.00022794902906753123
2002,0.00022873288253322244
2003,0.0002443358825985342
2004,0.00025907138478942215
2005,0.0002518326509743929
2006,0.00027561443857848644
2007,0.0002751150750555098
2008,0.00030387789593078196
2009,0.0003055917040910572
2010,0.0003044606128241867
2011,0.0002870882162824273
2012,0.0002641560568008572
2013,0.00028305265004746616
2014,0.00028953893342986703
2015,0.0002944540756288916
2016,0.0002756810572464019
2017,0.0003234724572394043
2018,0.0003554278227966279
2019,0.0003334682260174304
