,full
1921,0.0002306108654011041
1922,0.0002277684397995472
1923,0.00022760359570384026
1924,0.00022588855063077062
1925,0.00022117255139164627
1926,0.00022045553487259895
1927,0.00022268945758696645
1928,0.0002138594863936305
1929,0.0002163230674341321
1930,0.00021394701616372913
1931,0.0002146406623069197
1932,0.0002124863676726818
1933,0.0002120283606927842
1934,0.00021501306036952883
1935,0.00021094777912367135
1936,0.00021511653903871775
1937,0.0002121787692885846
1938,0.0002115142997354269
1939,0.00021404460130725056
1940,0.0002188386715715751
1941,0.00022238017118070275
1942,0.0002284571819473058
1943,0.00023562759452033788
1944,0.0002441538090351969
1945,0.0002587990020401776
1946,0.00024393395869992673
1947,0.00024407627643086016
1948,0.0002370868605794385
1949,0.0002263070928165689
1950,0.0002292043063789606
1951,0.0002315607271157205
1952,0.00023046204296406358
1953,0.00022825191263109446
1954,0.00022859075397718698
1955,0.00023056250938680023
1956,0.00023130379850044847
1957,0.00022769869246985763
1958,0.00022552617883775383
1959,0.00022652721963822842
1960,0.00022426193754654378
1961,0.00022136664483696222
1962,0.00021825471776537597
1963,0.00021572542027570307
1964,0.00021550984820351005
1965,0.00021977975848130882
1966,0.00021864695008844137
1967,0.0002186498313676566
1968,0.00021579857275355607
1969,0.00021638005273416638
1970,0.00021096033742651343
1971,0.00020956492517143488
1972,0.0002093748771585524
1973,0.00020801265782210976
1974,0.00020689731172751635
1975,0.00020768432295881212
1976,0.00020671714446507394
1977,0.00020298108574934304
1978,0.00020268354273866862
1979,0.0002001432585529983
1980,0.00019748692284338176
1981,0.00019692222122102976
1982,0.0001993623882299289
1983,0.00020348817633930594
1984,0.00019107024127151817
1985,0.00019081842037849128
1986,0.00019431706459727138
1987,0.00019490704289637506
1988,0.00019602527027018368
1989,0.00019216207147110254
1990,0.00019490519480314106
1991,0.0001874888694146648
1992,0.00018729861767496914
1993,0.00019033084390684962
1994,0.00018958195869345218
1995,0.00019114493625238538
1996,0.00019176237401552498
1997,0.00019072946452070028
1998,0.00019104119564872235
1999,0.00019086812972091138
2000,0.0001916475739562884
2001,0.00019217614317312837
2002,0.00019150710431858897
2003,0.00019784820324275643
2004,0.00019771666848100722
2005,0.00019535052706487477
2006,0.00019621413957793266
2007,0.0001946106640389189
2008,0.0001939798821695149
2009,0.0001936989719979465
2010,0.00019509521371219307
2011,0.0001991455355891958
2012,0.0001820522447815165
2013,0.00018505124899093062
2014,0.00019422551849856973
2015,0.00019126592087559402
2016,0.00018366158474236727
2017,0.00019234727369621396
2018,0.0001922621886478737
2019,0.00019172071188222617
