,second
1888,0.0002994745736941695
1889,0.000310460600303486
1890,0.0003068710502702743
1891,0.00031929637771099806
1892,0.00029922820976935327
1893,0.0003238476056139916
1894,0.00030301997321657836
1895,0.00031468033557757735
1896,0.0003032983804587275
1897,0.00031502623460255563
1898,0.00030672294087707996
1899,0.0003118405002169311
1900,0.0002978782285936177
1901,0.0003153641300741583
1902,0.00030352387693710625
1903,0.0003173028235323727
1904,0.00030688586411997676
1905,0.0003235437616240233
1906,0.00030515616526827216
1907,0.00032095631468109787
1908,0.000308426097035408
1909,0.0003149209951516241
1910,0.00030907028121873736
1911,0.0003269740263931453
1912,0.00031717578531242907
1913,0.0003282764519099146
1914,0.0003106135409325361
1915,0.00032075049239210784
1916,0.0003094821877311915
1917,0.00032722490141168237
1918,0.0003045989142265171
1919,0.0002985674364026636
1920,0.00029506601276807487
1921,0.0003077182045672089
1922,0.0002940829435829073
1923,0.00031126197427511215
1924,0.00029556898516602814
1925,0.0003162522043567151
1926,0.000301881053019315
1927,0.0003110636316705495
1928,0.0003044839249923825
1929,0.00030670082196593285
1930,0.0002994180249515921
1931,0.00032371660927310586
1932,0.000300089071970433
1933,0.00031646349816583097
1934,0.0002959466364700347
1935,0.0003040370938833803
1936,0.00028380565345287323
1937,0.0002929244365077466
1938,0.00028553156880661845
1939,0.0002868786104954779
1940,0.00028022084734402597
1941,0.0002917599049396813
1942,0.0002782646915875375
1943,0.0002825171686708927
1944,0.0002752684522420168
1945,0.00027606412186287344
1946,0.00027262247749604285
1947,0.00029296433785930276
1948,0.00028092943830415606
1949,0.00028743947041220963
1950,0.00029712115065194666
1951,0.00029922547400929034
1952,0.00029215149697847664
1953,0.00029674897086806595
1954,0.00028717651730403304
1955,0.00029398826882243156
1956,0.0002931919589173049
1957,0.000298793864203617
1958,0.00029478699434548616
1959,0.0003132912388537079
1960,0.00029608551994897425
1961,0.0003062128380406648
1962,0.0002981991565320641
1963,0.00029571555205620825
1964,0.00029905751580372453
1965,0.000296519894618541
1966,0.0002935052616521716
1967,0.00029139642720110714
1968,0.0002864218840841204
1969,0.00027804935234598815
1970,0.0002694654685910791
1971,0.00027291025617159903
1972,0.00027242308715358377
1973,0.0002677103620953858
1974,0.00026353824068792164
1975,0.0002756153990048915
1976,0.0002687622618395835
1977,0.0002726747770793736
1978,0.00026045789127238095
1979,0.00026594099472276866
1980,0.00026936637004837394
1981,0.00027389772003516555
1982,0.00026701760361902416
1983,0.0002728385152295232
1984,0.0002658854937180877
1985,0.0002761208452284336
1986,0.00026932917535305023
1987,0.0002830266603268683
1988,0.0002692134294193238
1989,0.0002755913883447647
1990,0.0002693334245122969
1991,0.0002784728421829641
1992,0.0002663605264388025
1993,0.0002712407149374485
1994,0.0002661831385921687
1995,0.00026722002075985074
1996,0.000266602321062237
1997,0.0002731570275500417
1998,0.000273565121460706
1999,0.00027680970379151404
2000,0.00027191758272238076
2001,0.00027401300030760467
2002,0.0002681607729755342
2003,0.00025617986102588475
2004,0.0002571058867033571
2005,0.00025586693664081395
2006,0.0002558489504735917
2007,0.00025608367286622524
2008,0.00025399026344530284
2009,0.0002523324510548264
2010,0.0002557556435931474
2011,0.00025455383001826704
2012,0.0002591742086224258
2013,0.00026529739261604846
2014,0.0002577778068371117
2015,0.0002553111989982426
2016,0.0002557328261900693
2017,0.0002479425456840545
2018,0.0002366792905377224
2019,0.00024433276848867536
