,within
1931,0.00036338253994472325
1932,0.00034405780024826527
1933,0.00036164402263239026
1934,0.0003399530833121389
1935,0.0003607040853239596
1936,0.00036281184293329716
1937,0.00036321053630672395
1938,0.0003689125878736377
1939,0.0003919272276107222
1940,0.00037541435449384153
1941,0.0003809966437984258
1942,0.00036940781865268946
1943,0.00038572639459744096
1944,0.00037377470289357007
1945,0.000383318547392264
1946,0.0003632957232184708
1947,0.00037502695340663195
1948,0.00037687926669605076
1949,0.00039945958997122943
1950,0.000370759196812287
1951,0.0003707033465616405
1952,0.0003653280436992645
1953,0.0003817764518316835
1954,0.0003891182423103601
1955,0.00037810721551068127
1956,0.00036468738107942045
1957,0.00039091907092370093
1958,0.0003734855563379824
1959,0.0003918542934115976
1960,0.00038542968104593456
1961,0.00038970093009993434
1962,0.0003865055914502591
1963,0.0003909087390638888
1964,0.0003827109467238188
1965,0.0003934923734050244
1966,0.0003884417819790542
1967,0.00039841991383582354
1968,0.0003919513837900013
1969,0.00039506511529907584
1970,0.0003992320562247187
1971,0.00041321798926219344
1972,0.0004198825918138027
1973,0.0004237174871377647
1974,0.00042623543413355947
1975,0.0004401993646752089
1976,0.00043534065480344
1977,0.0004374275158625096
1978,0.0004339912557043135
1979,0.00043775190715678036
1980,0.0004251425852999091
1981,0.00042744554230012
1982,0.0004247250617481768
1983,0.00042002846021205187
1984,0.00040945279761217535
1985,0.00041387707460671663
1986,0.00041095909546129405
1987,0.0004182939592283219
1988,0.0004156559589318931
1989,0.00040842799353413284
1990,0.0004182910197414458
1991,0.0004179852257948369
1992,0.0004217121750116348
1993,0.00042055800440721214
1994,0.0004157658840995282
1995,0.00042509788181632757
1996,0.00042731035500764847
1997,0.00043615122558549047
1998,0.00043330175685696304
1999,0.00043020720477215946
2000,0.00042559090070426464
2001,0.0004256523388903588
2002,0.00042917655082419515
2003,0.0004205613222438842
2004,0.0004196308145765215
2005,0.00041798484744504094
2006,0.0004105697153136134
2007,0.0004055598401464522
2008,0.00039541933801956475
2009,0.00038053360185585916
2010,0.0003690043231472373
2011,0.0003451734664849937
2012,0.0003550199035089463
2013,0.00036404564161784947
2014,0.00033233631984330714
2015,0.0003358583489898592
2016,0.0003614528104662895
2017,0.0003272411704529077
2018,0.00031806135666556656
2019,0.00032541065593250096
