,water
1885,0.0004945610999129713
1886,0.00046700818347744644
1887,0.00046789750922471285
1888,0.0004500270588323474
1889,0.0004711872898042202
1890,0.0005029266467317939
1891,0.0004814603307750076
1892,0.0004967363202013075
1893,0.0004937358316965401
1894,0.0004962509265169501
1895,0.0004856173472944647
1896,0.0004929485148750246
1897,0.0004970482550561428
1898,0.0005028325831517577
1899,0.00047836272278800607
1900,0.0004968598368577659
1901,0.000478291476611048
1902,0.0005108961486257613
1903,0.0005204392364248633
1904,0.0005199412698857486
1905,0.0005486265872605145
1906,0.0005323662771843374
1907,0.0005185086629353464
1908,0.0005241074250079691
1909,0.000545242743100971
1910,0.0005419220542535186
1911,0.0005478509701788425
1912,0.0005549179040826857
1913,0.000558061758056283
1914,0.000537417596206069
1915,0.000537073181476444
1916,0.0005473696510307491
1917,0.0005185481859371066
1918,0.0004945907276123762
1919,0.0004701253492385149
1920,0.0004893836448900402
1921,0.0004602277767844498
1922,0.0004724959144368768
1923,0.0005084999720565975
1924,0.00048212744877673686
1925,0.0004895793390460312
1926,0.0004744986945297569
1927,0.0004799981543328613
1928,0.00047151875332929194
1929,0.0004578861116897315
1930,0.00047110847663134336
1931,0.00044573095510713756
1932,0.00044287703349255025
1933,0.0004497992049437016
1934,0.0004372648836579174
1935,0.00043344483128748834
1936,0.0004454887530300766
1937,0.0004428184765856713
1938,0.00046340105473063886
1939,0.0004338748985901475
1940,0.0004311407101340592
1941,0.0004084530519321561
1942,0.0004612402990460396
1943,0.0004364283522590995
1944,0.0004560288798529655
1945,0.00043367926264181733
1946,0.0004366149951238185
1947,0.000437977141700685
1948,0.0004515614127740264
1949,0.0004930904251523316
1950,0.0005513797514140606
1951,0.0004560760280583054
1952,0.0004609234747476876
1953,0.00044870053534395993
1954,0.0004655799421016127
1955,0.0004863752983510494
1956,0.0004780552990268916
1957,0.00046957851736806333
1958,0.00047336082207039
1959,0.00045468154712580144
1960,0.0004770613450091332
1961,0.00044778487063013017
1962,0.00045511830830946565
1963,0.0004827334778383374
1964,0.0004532412567641586
1965,0.00045770572614856064
1966,0.0004328611248638481
1967,0.00041444861562922597
1968,0.0004091898736078292
1969,0.00041079273796640337
1970,0.00042887552990578115
1971,0.00043290830217301846
1972,0.0004643310094252229
1973,0.00044322668691165745
1974,0.0004315210971981287
1975,0.00043662823736667633
1976,0.00043544051004573703
1977,0.0004495210887398571
1978,0.0004377480654511601
1979,0.0004423556092660874
1980,0.00042331768781878054
1981,0.0004174569039605558
1982,0.0004274365201126784
1983,0.0004131094610784203
1984,0.0003941296599805355
1985,0.0003775987424887717
1986,0.0003663747338578105
1987,0.00037383747985586524
1988,0.0003610776911955327
1989,0.0003517795412335545
1990,0.00036415961221791804
1991,0.0003693785110954195
1992,0.00034906461951322854
1993,0.0003566111554391682
1994,0.00034879695158451796
1995,0.0003452406090218574
1996,0.00035149266477674246
1997,0.0003337009984534234
1998,0.0003329604514874518
1999,0.0003268804575782269
2000,0.0003317934460937977
2001,0.0003187800175510347
2002,0.00031561561627313495
2003,0.000318484177114442
2004,0.00031731961644254625
2005,0.0003117978048976511
2006,0.00031018644222058356
2007,0.0003138553292956203
2008,0.0003138430474791676
2009,0.0003174159792251885
2010,0.0003219248610548675
2011,0.0003223513485863805
2012,0.000332180003169924
2013,0.00031392660457640886
2014,0.0003019485739059746
2015,0.00029645327595062554
2016,0.0002919580147136003
2017,0.00029819575138390064
2018,0.0002981404250022024
2019,0.0003162258944939822
