,open
1907,0.0001762933243298903
1908,0.0001781004830263555
1909,0.0001793146220734343
1910,0.00018000189447775483
1911,0.00017679287702776492
1912,0.0001757604768499732
1913,0.00017808956908993423
1914,0.0001808085507946089
1915,0.00017989601474255323
1916,0.00017765324446372688
1917,0.00017257235595025122
1918,0.00017180068243760616
1919,0.0001729369832901284
1920,0.00017434122855775058
1921,0.0001728771603666246
1922,0.0001698130799923092
1923,0.00016743822197895497
1924,0.0001657559332670644
1925,0.00016415635764133185
1926,0.00016457117453683168
1927,0.00016306390170939267
1928,0.00016459125617984682
1929,0.0001599416573299095
1930,0.00015924728359095752
1931,0.00015808394527994096
1932,0.00015474806423299015
1933,0.00015511919627897441
1934,0.00015368616732303053
1935,0.00015186496602836996
1936,0.00015410927881021053
1937,0.00015395520313177258
1938,0.0001528649008832872
1939,0.00015020716818980873
1940,0.00015120720490813255
1941,0.0001439278421457857
1942,0.00014324771473184228
1943,0.00014293519780039787
1944,0.0001451654825359583
1945,0.00014276801084633917
1946,0.00014684438065160066
1947,0.00014384152018465102
1948,0.0001465968816773966
1949,0.00014551699860021472
1950,0.00014395875041373074
1951,0.0001441456115571782
1952,0.00014712815755046904
1953,0.00014485853898804635
1954,0.00014369749987963587
1955,0.00014294966240413487
1956,0.0001435621379641816
1957,0.00014087872114032507
1958,0.00014151769573800266
1959,0.00013944839884061366
1960,0.00013805310300085694
1961,0.00013764467439614236
1962,0.00013791538367513567
1963,0.0001381278852932155
1964,0.00013601727550849319
1965,0.0001375442952848971
1966,0.00013767190102953464
1967,0.00013758383283857256
1968,0.00014109200856182724
1969,0.00013947588740848005
1970,0.00013806643255520612
1971,0.00013910436246078461
1972,0.0001398795866407454
1973,0.00013692241918761283
1974,0.00014032474427949637
1975,0.00013865306391380727
1976,0.00013654973008669913
1977,0.00014032292529009283
1978,0.00013482061331160367
1979,0.000133854933665134
1980,0.0001333956461166963
1981,0.00013451282575260848
1982,0.00013253487122710794
1983,0.00013644975842908025
1984,0.00013487330579664558
1985,0.00013691991625819355
1986,0.0001377619046252221
1987,0.0001428487157681957
1988,0.0001412975398125127
1989,0.00014295539585873485
1990,0.0001459396880818531
1991,0.00014769166591577232
1992,0.00014971059863455594
1993,0.00015067755884956568
1994,0.00015378005628008395
1995,0.0001530665613245219
1996,0.0001581400283612311
1997,0.00016344923642463982
1998,0.00016149463772308081
1999,0.0001663235161686316
2000,0.00017085351282730699
2001,0.0001709490898065269
2002,0.00017752076382748783
2003,0.0001754413970047608
2004,0.00018292518507223576
2005,0.0001819162571337074
2006,0.0001824679784476757
2007,0.00018826893938239664
2008,0.00019154258188791573
2009,0.0002063396677840501
2010,0.0002158234710805118
2011,0.0002227542718173936
2012,0.00021265412215143442
2013,0.00021259833010844886
2014,0.00022964028175920248
2015,0.00022761944273952395
2016,0.00021995301358401775
2017,0.00022519865888170898
2018,0.00021769828163087368
2019,0.0002237517765024677
