,both
1975,0.0004951824666932225
1976,0.0004950024303980172
1977,0.000496329739689827
1978,0.0004951771697960794
1979,0.0004958442877978086
1980,0.0005061154370196164
1981,0.000499238318298012
1982,0.0005014555645175278
1983,0.0005085982847958803
1984,0.0005073654465377331
1985,0.0005059078685007989
1986,0.0005113655934110284
1987,0.0005086762248538435
1988,0.0005106243770569563
1989,0.000501313479617238
1990,0.0005083266878500581
1991,0.0005073914653621614
1992,0.0005048841703683138
1993,0.0005044537829235196
1994,0.0005037661176174879
1995,0.0004983025137335062
1996,0.0005113377119414508
1997,0.0005138926790095866
1998,0.0005195147241465747
1999,0.000517247011885047
2000,0.0005198083235882223
2001,0.0005175226833671331
2002,0.0005221057217568159
2003,0.0005203982582315803
2004,0.0005255251307971776
2005,0.0005265899235382676
2006,0.0005237208679318428
2007,0.0005236515426076949
2008,0.0005139303975738585
2009,0.0005126317264512181
2010,0.0005152355879545212
2011,0.0005097753601148725
2012,0.0005302637000568211
2013,0.0005406627315096557
2014,0.000520750239957124
2015,0.0005243828636594117
2016,0.0005431151948869228
2017,0.0005099043482914567
2018,0.0004904313827864826
2019,0.000506515905726701
