,table
1913,0.00012058121501468122
1914,0.00011196453124284744
1915,0.00011363691737642512
1916,0.00011313917639199644
1917,0.00011571301729418337
1918,0.00011165663454448804
1919,0.00011348431871738285
1920,0.0001123114416259341
1921,0.00011489161261124536
1922,0.00011659823940135539
1923,0.00012607377720996737
1924,0.0001266852195840329
1925,0.00013557438796851784
1926,0.00012449856149032712
1927,0.00012882759619969875
1928,0.00012661167420446873
1929,0.00012866176257375628
1930,0.0001297945564147085
1931,0.0001296195841860026
1932,0.00012846967729274184
1933,0.0001372422557324171
1934,0.00013976545596960932
1935,0.00014252183609642088
1936,0.00013960803335066885
1937,0.0001392169506289065
1938,0.0001418816827936098
1939,0.00013877592573408037
1940,0.00014471987378783524
1941,0.00014398311031982303
1942,0.0001356770662823692
1943,0.00012935147969983518
1944,0.00012966878421138972
1945,0.00012585318472702056
1946,0.0001259677519556135
1947,0.00012859722482971847
1948,0.00012833975779358298
1949,0.00014178681885823607
1950,0.00013104622485116124
1951,0.00012267155398149043
1952,0.00012673725723288953
1953,0.0001241526479134336
1954,0.0001216963428305462
1955,0.0001238776749232784
1956,0.0001212312636198476
1957,0.00012460185098461807
1958,0.00012119632447138429
1959,0.00012207191321067512
1960,0.00011993846419500187
1961,0.0001262530859094113
1962,0.00011861853272421286
1963,0.0001264525344595313
1964,0.0001198093596030958
1965,0.00011573740630410612
1966,0.00011496766092022881
1967,0.00010953863966278732
1968,0.00010749295324785635
1969,0.00010578960791463032
1970,0.00010972871677950025
1971,0.00010796127025969326
1972,0.00011306433589197695
1973,0.00010860228212550282
1974,0.00010909596312558278
1975,0.0001087372365873307
1976,0.00010821212345035747
1977,0.00010878029570449144
1978,0.00010835294233402237
1979,0.0001060930808307603
1980,0.00010755324910860509
1981,0.00010741350706666708
1982,0.00010435195872560143
1983,0.00010649103933246806
1984,0.00010860471229534596
1985,0.00010364881745772436
1986,0.00010596526408335194
1987,0.00010291067155776545
1988,0.00010329504584660754
1989,0.0001057874396792613
1990,0.00010730154463090003
1991,0.00010303024464519694
1992,0.00010761811427073553
1993,0.00011070402979385108
1994,0.000107701460365206
1995,0.00010396021389169618
1996,0.00010584393749013543
1997,0.00010699706035666168
1998,0.00010976750490954146
1999,0.00011163263116031885
2000,0.00011354553134879097
2001,0.00011636189447017387
2002,0.00011833253665827215
2003,0.0001214736548718065
2004,0.00012243636592756957
2005,0.00011968773469561711
2006,0.00012419134145602584
2007,0.00012909054930787534
2008,0.00013267101894598454
2009,0.00013882917119190097
2010,0.00015297932259272784
2011,0.00015595626609865576
2012,0.0001468032132834196
2013,0.00014693841512780637
2014,0.00016218164819292724
2015,0.00015639030607417226
2016,0.00014752554125152528
2017,0.00015179636829998344
2018,0.00014574192755389959
2019,0.0001486250985180959
