,c
1880,0.0003154487058054656
1881,0.000275089725619182
1882,0.00027890672208741307
1883,0.0002789671125356108
1884,0.0002877750084735453
1885,0.000261571811279282
1886,0.0002455518988426775
1887,0.0002400262892479077
1888,0.0002543687296565622
1889,0.00022277201060205698
1890,0.0002392821479588747
1891,0.0002215914282714948
1892,0.00021248184202704579
1893,0.0002225587231805548
1894,0.00020759327162522823
1895,0.0002002584224101156
1896,0.00020964442228432745
1897,0.00020783198124263436
1898,0.00020885666890535504
1899,0.00019104305829387158
1900,0.00018395177903585136
1901,0.00018807862943504006
1902,0.00020031261374242604
1903,0.00020546950690913945
1904,0.0002093502989737317
1905,0.00020868958381470293
1906,0.00019272748613730073
1907,0.00021044968161731958
1908,0.00020035338820889592
1909,0.00019561850058380514
1910,0.000203869873075746
1911,0.0002141254663001746
1912,0.00018249273125547916
1913,0.00018839145195670426
1914,0.00019768709898926318
1915,0.00017365220992360264
1916,0.00017893784388434142
1917,0.00017327486420981586
1918,0.00015869532944634557
1919,0.0001632976345717907
1920,0.0001666932657826692
1921,0.00017217645654454827
1922,0.00017464379197917879
1923,0.0001871887652669102
1924,0.00017313071293756366
1925,0.00019673793576657772
1926,0.000189315207535401
1927,0.00021116482093930244
1928,0.00017523704445920885
1929,0.00016646597941871732
1930,0.00017605484754312783
1931,0.00019282066205050796
1932,0.00018256176554132253
1933,0.00018874453962780535
1934,0.0001863144716480747
1935,0.0001882782089523971
1936,0.00019818030705209821
1937,0.00019221584079787135
1938,0.0002092196955345571
1939,0.00021236061002127826
1940,0.00020855574985034764
1941,0.00021199519687797874
1942,0.00020017384667880833
1943,0.00020341624622233212
1944,0.00023561346461065114
1945,0.00022065611847210675
1946,0.00021101342281326652
1947,0.0002027748996624723
1948,0.000219885419937782
1949,0.0002141411096090451
1950,0.0002201577153755352
1951,0.0002091030910378322
1952,0.00024175411090254784
1953,0.00022926682140678167
1954,0.0002927572641056031
1955,0.00022778904531151056
1956,0.00019902962958440185
1957,0.00023484666598960757
1958,0.00021766578720416874
1959,0.00022028152307029814
1960,0.00022146639821585268
1961,0.00023384354426525533
1962,0.0002215484855696559
1963,0.00022958018234930933
1964,0.00023801796487532556
1965,0.00024352470063604414
1966,0.000243313072132878
1967,0.0002300040068803355
1968,0.00023987924214452505
1969,0.0002290503034600988
1970,0.00023922995023895055
1971,0.00023888918804004788
1972,0.00023673588293604553
1973,0.00024339108495041728
1974,0.00024353527987841517
1975,0.00025726694730110466
1976,0.0002527617325540632
1977,0.00024628531537018716
1978,0.00025916376034729183
1979,0.00025706421001814306
1980,0.0002484768920112401
1981,0.00025525293312966824
1982,0.0002588533970993012
1983,0.00025503660435788333
1984,0.00024533801479265094
1985,0.00025440199533477426
1986,0.00024220025807153434
1987,0.0002504605508875102
1988,0.00026098411763086915
1989,0.00025141023797914386
1990,0.00025955031742341816
1991,0.00024490972282364964
1992,0.00025108191766776145
1993,0.0002360928920097649
1994,0.00024351265165023506
1995,0.00028534699231386185
1996,0.00025940174236893654
1997,0.00024800249957479537
1998,0.00023638049606233835
1999,0.00024695295724086463
2000,0.0002406039711786434
2001,0.0002451282343827188
2002,0.00023440724180545658
2003,0.0002211235841969028
2004,0.00020876889175269753
2005,0.00021000833658035845
2006,0.0002063758292933926
2007,0.0001951580634340644
2008,0.00019199751841370016
2009,0.00018372955673839897
2010,0.00017286883667111397
2011,0.00016009520913939923
2012,0.0001688470656517893
2013,0.0001530845183879137
2014,0.00014716562873218209
2015,0.00014483006088994443
2016,0.00014716561418026686
2017,0.00014473003102466464
2018,0.00014945014845579863
2019,0.0001616749941604212
