,value
1968,0.00028227243456058204
1969,0.000277055602055043
1970,0.0002747720864135772
1971,0.00028131910949014127
1972,0.00027990169473923743
1973,0.00027617704472504556
1974,0.00027788503211922944
1975,0.000283192319329828
1976,0.00027623193454928696
1977,0.00028261393890716136
1978,0.0002735492598731071
1979,0.00027652946300804615
1980,0.00027520436560735106
1981,0.0002795667096506804
1982,0.00027477863477542996
1983,0.0002828229626175016
1984,0.00027465596213005483
1985,0.00027279448113404214
1986,0.0002764984965324402
1987,0.00027698129997588694
1988,0.0002742402721196413
1989,0.00027420654078014195
1990,0.0002811937010847032
1991,0.00027455456438474357
1992,0.00027812988264486194
1993,0.00027213795692659914
1994,0.0002763177908491343
1995,0.00027719317586161196
1996,0.0002697753952816129
1997,0.0002776447217911482
1998,0.00027204485377296805
1999,0.0002709988912101835
2000,0.00026259353035129607
2001,0.0002666206273715943
2002,0.00027665207744576037
2003,0.00027914749807678163
2004,0.0002720000920817256
2005,0.00027207343373447657
2006,0.00026759266620501876
2007,0.0002687227970454842
2008,0.0002610851952340454
2009,0.00025066902162507176
2010,0.00025058287428691983
2011,0.00024305393162649125
2012,0.0002510041231289506
2013,0.000246024748776108
2014,0.000211355320061557
2015,0.0002153343812096864
2016,0.00023478121147491038
2017,0.00020743040658999234
2018,0.00019761819567065686
2019,0.00020989635959267616
