,get
2003,0.0003574628790374845
2004,0.00036739310598932207
2005,0.0003828076005447656
2006,0.00038570957258343697
2007,0.0004072357842233032
2008,0.0004314842517487705
2009,0.0004988601431250572
2010,0.0005380490329116583
2011,0.0005948555190116167
2012,0.0005453096819110215
2013,0.0005277052405290306
2014,0.0006365068256855011
2015,0.0006088473019190133
2016,0.0005602575256489217
2017,0.0005853291950188577
2018,0.0005473199998959899
2019,0.0005662640905939043
