,set
1929,0.0002595506957732141
1930,0.0002634989214129746
1931,0.00026041638921014965
1932,0.00026821624487638474
1933,0.00026970618637278676
1934,0.00027754055918194354
1935,0.00027521696756593883
1936,0.0002784550015348941
1937,0.00027571036480367184
1938,0.00027431518537923694
1939,0.00027999604935757816
1940,0.00028384506003931165
1941,0.00028521049534901977
1942,0.00029038399225100875
1943,0.00029106740839779377
1944,0.00030001995037309825
1945,0.0002996845287270844
1946,0.00029365994851104915
1947,0.00029440957587212324
1948,0.00029439543141052127
1949,0.00028149725403636694
1950,0.00028109163395129144
1951,0.00028683411073870957
1952,0.0002870478783734143
1953,0.0002884656423702836
1954,0.0002874656638596207
1955,0.00028346170438453555
1956,0.0002813412284012884
1957,0.0002851101162377745
1958,0.0002801601367536932
1959,0.00028505161753855646
1960,0.00027976828278042376
1961,0.0002864598936866969
1962,0.0002865635324269533
1963,0.0002850524033419788
1964,0.0002840744564309716
1965,0.0002862161200027913
1966,0.00029184474260546267
1967,0.00028549577109515667
1968,0.00028655247297137976
1969,0.0002841609239112586
1970,0.0002865045389626175
1971,0.00028794442187063396
1972,0.00028575590113177896
1973,0.0002846536517608911
1974,0.00028624123660847545
1975,0.00028826258494518697
1976,0.00028838030993938446
1977,0.00028881695470772684
1978,0.00028442582697607577
1979,0.0002846657589543611
1980,0.0002838462241925299
1981,0.00028815335826948285
1982,0.0002920190163422376
1983,0.00029154002550058067
1984,0.00028862612089142203
1985,0.00029120277031324804
1986,0.0002937004610430449
1987,0.00030044896993786097
1988,0.0003066134813707322
1989,0.0003021995653398335
1990,0.0003088343364652246
1991,0.0003131158300675452
1992,0.00031587452394887805
1993,0.00031035798019729555
1994,0.0003161287459079176
1995,0.0003285618149675429
1996,0.0003142737550660968
1997,0.00032238056883215904
1998,0.0003277210344094783
1999,0.000329383066855371
2000,0.0003334008506499231
2001,0.000338109239237383
2002,0.00033756729681044817
2003,0.0003518660960253328
2004,0.0003435133839957416
2005,0.0003434059035498649
2006,0.00034813667298294604
2007,0.0003371243074070662
2008,0.0003368459001649171
2009,0.00033825391437858343
2010,0.00034490853431634605
2011,0.00034495024010539055
2012,0.0003460004518274218
2013,0.0003403250884730369
2014,0.00032874089083634317
2015,0.0003206183318980038
2016,0.00032017778721638024
2017,0.0003226361586712301
2018,0.00031162542290985584
2019,0.000310274597723037
