,see
1898,0.00046518471208401024
1899,0.0005018822266720235
1900,0.0005009496817365289
1901,0.0004865454393438995
1902,0.0004774881526827812
1903,0.00047883542720228434
1904,0.00047328154323622584
1905,0.00045561802107840776
1906,0.00048415479250252247
1907,0.00047072445158846676
1908,0.0004932586452923715
1909,0.0005128559423610568
1910,0.0005074473447166383
1911,0.0004834029823541641
1912,0.00046724642743356526
1913,0.00046244432451203465
1914,0.00047524450928904116
1915,0.0004662563733290881
1916,0.0004517656343523413
1917,0.00044813338899984956
1918,0.0004260099958628416
1919,0.00042901511187665164
1920,0.0004303962632548064
1921,0.00042371617746539414
1922,0.00044347348739393055
1923,0.00042874692007899284
1924,0.00043931533582508564
1925,0.0004342684696894139
1926,0.0004579903616104275
1927,0.00044012063881382346
1928,0.00045978580601513386
1929,0.0004520408692769706
1930,0.0004417509480845183
1931,0.00042808352736756206
1932,0.00042964023305103183
1933,0.0004583659174386412
1934,0.0004348793299868703
1935,0.0004445974191185087
1936,0.0004443128709681332
1937,0.0004431874549482018
1938,0.0004303472233004868
1939,0.0004540045920293778
1940,0.0004413133719936013
1941,0.00043216662015765905
1942,0.0004546648415271193
1943,0.000444270292064175
1944,0.0004306798509787768
1945,0.00043024655315093696
1946,0.000434155750554055
1947,0.00043840036960318685
1948,0.0004548344877548516
1949,0.0004536990018095821
1950,0.0004593687190208584
1951,0.00047520542284473777
1952,0.0004893246805295348
1953,0.0004643832508008927
1954,0.00046786427265033126
1955,0.0004615657962858677
1956,0.00047532166354358196
1957,0.00045974767999723554
1958,0.0004547049175016582
1959,0.0004493289452511817
1960,0.00046147260582074523
1961,0.00046321560512296855
1962,0.00044920670916326344
1963,0.000468621525214985
1964,0.0004621596308425069
1965,0.00047341585741378367
1966,0.0004709012573584914
1967,0.0005022023688070476
1968,0.0005111146601848304
1969,0.00048672949196770787
1970,0.0005133927334100008
1971,0.0005068728933110833
1972,0.0004916906473226845
1973,0.0005306051461957395
1974,0.0004933663876727223
1975,0.0004952477756887674
1976,0.0004827840020880103
1977,0.0005018755909986794
1978,0.0005315960734151304
1979,0.0005503438878804445
1980,0.0005118482513353229
1981,0.000532665872015059
1982,0.0005379755748435855
1983,0.0005516331875696778
1984,0.000532892532646656
1985,0.0005267950473353267
1986,0.0005457245279103518
1987,0.0005490384064614773
1988,0.0005579370190389454
1989,0.0005700356559827924
1990,0.0005645632045343518
1991,0.000583662127610296
1992,0.000577600032556802
1993,0.000615388504229486
1994,0.0006131816189736128
1995,0.0006069202208891511
1996,0.0006217022892087698
1997,0.0006197969778440893
1998,0.0006456832052208483
1999,0.0006500396993942559
2000,0.0006674156757071614
2001,0.0006740527460351586
2002,0.0006950981332920492
2003,0.000709438871126622
2004,0.0007138276705518365
2005,0.0007129001896828413
2006,0.0007308800704777241
2007,0.0007393318810500205
2008,0.0007734148530289531
2009,0.0007848177338019013
2010,0.0008212048560380936
2011,0.0008415732881985605
2012,0.0008177472045645118
2013,0.0008533199434168637
2014,0.0008668394293636084
2015,0.0008568119374103844
2016,0.0008396227494813502
2017,0.0008614846155978739
2018,0.0008486478473059833
2019,0.0008341307984665036
