,line
1974,0.0002408326545264572
1975,0.00026089244056493044
1976,0.00023670357768423855
1977,0.00024462438886985183
1978,0.0002289668336743489
1979,0.0002341342915315181
1980,0.00023275692365132272
1981,0.00023671594681218266
1982,0.00023124847211875021
1983,0.0002426986611681059
1984,0.0002452132466714829
1985,0.0002530042256694287
1986,0.00024506793124601245
1987,0.0002406642452115193
1988,0.00023662496823817492
1989,0.0002344658860238269
1990,0.00023181461438070983
1991,0.00023258478904608637
1992,0.00023344358487520367
1993,0.0002262937487103045
1994,0.000226374133490026
1995,0.00022980211360845715
1996,0.00022894110588822514
1997,0.00023117467935662717
1998,0.00023261932074092329
1999,0.00022573389287572354
2000,0.0002286112867295742
2001,0.00022558108321391046
2002,0.00022161987726576626
2003,0.00022266276937443763
2004,0.0002184062759624794
2005,0.0002131264191120863
2006,0.00021368052694015205
2007,0.000215496591408737
2008,0.00021241178910713643
2009,0.00021166549413464963
2010,0.00021396837837528437
2011,0.00021054958051536232
2012,0.00021367290173657238
2013,0.00020564132137224078
2014,0.00020075177599210292
2015,0.00019669070024974644
2016,0.00019717773830052465
2017,0.0001850683765951544
2018,0.00017610940267331898
2019,0.0001787895744200796
