,go
1882,0.00029091371106915176
1883,0.0002847978030331433
1884,0.0002837665961124003
1885,0.00028428484802134335
1886,0.00027952686650678515
1887,0.00028770783683285117
1888,0.00028403682517819107
1889,0.0002878126106224954
1890,0.00027900305576622486
1891,0.00027947782655246556
1892,0.0002840522211045027
1893,0.0002851576718967408
1894,0.0002893387572839856
1895,0.0002817850618157536
1896,0.00028593739261850715
1897,0.0002685105719137937
1898,0.0002762989606708288
1899,0.0003095873980782926
1900,0.00030130523373372853
1901,0.0002831289020832628
1902,0.0002735993475653231
1903,0.000277271174127236
1904,0.0002796237531583756
1905,0.0002578762359917164
1906,0.0002672739792615175
1907,0.00026422739028930664
1908,0.0002683346683625132
1909,0.0002693665446713567
1910,0.00025873887352645397
1911,0.0002598539867904037
1912,0.00026710706879384816
1913,0.00026314094429835677
1914,0.0002585775509942323
1915,0.0002455298672430217
1916,0.00026366725796833634
1917,0.00025665355497039855
1918,0.0002643157495185733
1919,0.0002681139449123293
1920,0.0002663983323145658
1921,0.0002541423309594393
1922,0.0002570855140220374
1923,0.000255455233855173
1924,0.000274368969257921
1925,0.00025727934553287923
1926,0.0002582032175268978
1927,0.00025186972925439477
1928,0.0002577276900410652
1929,0.00025704092695377767
1930,0.0002533438091631979
1931,0.00023808910918887705
1932,0.0002462526026647538
1933,0.00022956090106163174
1934,0.0002494459040462971
1935,0.0002513648651074618
1936,0.00025015760911628604
1937,0.00023821504146326333
1938,0.0002392342867096886
1939,0.00024156353902071714
1940,0.00023490545572713017
1941,0.00023210188373923302
1942,0.0002489940379746258
1943,0.00025453363195993006
1944,0.0002574346726760268
1945,0.0002548238553572446
1946,0.0002604850160423666
1947,0.00025123628438450396
1948,0.0002481256378814578
1949,0.00022455657017417252
1950,0.00023336287995334715
1951,0.00024786865105852485
1952,0.00024476053658872843
1953,0.00023552031780127436
1954,0.0002280030894326046
1955,0.00023909058654680848
1956,0.00023935240460559726
1957,0.0002335087483515963
1958,0.00023209804203361273
1959,0.00021832303900737315
1960,0.00021797836234327406
1961,0.00021911502699367702
1962,0.00021639061742462218
1963,0.00021291052689775825
1964,0.00021375789947342128
1965,0.00021529171499423683
1966,0.00021984914201311767
1967,0.00022254695068113506
1968,0.00022494635777547956
1969,0.0002280321205034852
1970,0.00022417728905566037
1971,0.00021180663316044956
1972,0.0002093058719765395
1973,0.0002039566752500832
1974,0.00020851855515502393
1975,0.0001995601924136281
1976,0.0001988349831663072
1977,0.0001970626472029835
1978,0.0001952550810528919
1979,0.0001948351418832317
1980,0.00019561640510801226
1981,0.0001907318946905434
1982,0.00019326136680319905
1983,0.0001939142239280045
1984,0.00019959115888923407
1985,0.000193743035197258
1986,0.00020062860858161002
1987,0.0002007991133723408
1988,0.00020653120009228587
1989,0.00020437985949683934
1990,0.0002065884182229638
1991,0.00021096986893098801
1992,0.00021156748698558658
1993,0.00020888161088805646
1994,0.00021600560285151005
1995,0.00021180343173909932
1996,0.00022066158999223262
1997,0.00022881687618792057
1998,0.0002301357308169827
1999,0.0002393311879131943
2000,0.0002676908334251493
2001,0.000271202705334872
2002,0.00027867176686413586
2003,0.00029114558128640056
2004,0.0003055921115446836
2005,0.00031351621146313846
2006,0.0003215158940292895
2007,0.0003347856691107154
2008,0.0003630945284385234
2009,0.00040450319647789
2010,0.00043013624963350594
2011,0.00046906029456295073
2012,0.0004352277028374374
2013,0.0004299466672819108
2014,0.0005066512385383248
2015,0.0004914469318464398
2016,0.00045069248881191015
2017,0.0005159284919500351
2018,0.0005041508702561259
2019,0.0005080304108560085
