,here
1946,0.0003159145708195865
1947,0.0003178080078214407
1948,0.00031726682209409773
1949,0.00029916444327682257
1950,0.00030409570899792016
1951,0.00031428528018295765
1952,0.00031441482133232057
1953,0.00030824390705674887
1954,0.0003030141815543175
1955,0.00031997475889511406
1956,0.00032218918204307556
1957,0.00031417206628248096
1958,0.00030654313741251826
1959,0.00030027501634322107
1960,0.00029257783899083734
1961,0.00030012577190063894
1962,0.00029793265275657177
1963,0.00029477509087882936
1964,0.0002998934069182724
1965,0.0003045078774448484
1966,0.0002997842093463987
1967,0.0003027445636689663
1968,0.0002972398651763797
1969,0.0002984436578117311
1970,0.00029011318110860884
1971,0.0002709066611714661
1972,0.0002720738120842725
1973,0.00026311384863220155
1974,0.00026701416936703026
1975,0.0002606668567750603
1976,0.0002582032175268978
1977,0.00025107545661740005
1978,0.00024734350154176354
1979,0.0002464239369146526
1980,0.0002489411272108555
1981,0.00024489432689733803
1982,0.00024744850816205144
1983,0.00024984125047922134
1984,0.0002519560803193599
1985,0.00024695106549188495
1986,0.0002511347411200404
1987,0.00025069384719245136
1988,0.0002575382823124528
1989,0.00025768260820768774
1990,0.00025996300973929465
1991,0.00026084049022756517
1992,0.0002618831640575081
1993,0.0002583867171779275
1994,0.0002614960540086031
1995,0.00025871218531392515
1996,0.00026906211860477924
1997,0.0002696075534913689
1998,0.0002733728033490479
1999,0.0002785472897812724
2000,0.00030764061375521123
2001,0.000305137422401458
2002,0.00031031592516228557
2003,0.00032119982643052936
2004,0.0003294374037068337
2005,0.0003334321081638336
2006,0.00034298148239031434
2007,0.0003576465242076665
2008,0.0003782396961469203
2009,0.0004052325675729662
2010,0.00042759868665598333
2011,0.00046634962200187147
2012,0.0004516058834269643
2013,0.0004487871192395687
2014,0.0005252276896499097
2015,0.0005247622611932456
2016,0.0005331210559234023
2017,0.0005771570140495896
2018,0.0005670140380971134
2019,0.0005922781419940293
