,use
1954,0.000586710637435317
1955,0.0005829533911310136
1956,0.0005850307643413544
1957,0.0005901418044231832
1958,0.0005914125358685851
1959,0.0005882141413167119
1960,0.000586202833801508
1961,0.0005804899265058339
1962,0.0005760646890848875
1963,0.0005739731714129448
1964,0.0005654034321196377
1965,0.0005603287136182189
1966,0.0005614868132397532
1967,0.0005645556375384331
1968,0.0005506532033905387
1969,0.0005469982279464602
1970,0.0005672394181601703
1971,0.0005751164280809462
1972,0.0005980724235996604
1973,0.0005994696984998882
1974,0.0006160294287838042
1975,0.0006292993202805519
1976,0.000620658160187304
1977,0.000630052643828094
1978,0.0006286212592385709
1979,0.0006384359439834952
1980,0.0006369622424244881
1981,0.0006225738325156271
1982,0.0006268395227380097
1983,0.0006337657105177641
1984,0.0006177736795507371
1985,0.0006242139497771859
1986,0.0006258166977204382
1987,0.0006167197716422379
1988,0.0006148953107185662
1989,0.0006067208014428616
1990,0.0006301900721155107
1991,0.0006187046528793871
1992,0.0006124446517787874
1993,0.0006118310848250985
1994,0.0006206373800523579
1995,0.0006282837130129337
1996,0.0006293689366430044
1997,0.0006440449506044388
1998,0.0006466312916018069
1999,0.0006376151577569544
2000,0.0006351604824885726
2001,0.0006307012517936528
2002,0.0006465818732976913
2003,0.0006428142078220844
2004,0.0006356904632411897
2005,0.0006278736982494593
2006,0.000621696759480983
2007,0.0006103091291151941
2008,0.0005990898353047669
2009,0.0005914613720960915
2010,0.0005991029320284724
2011,0.000581197498831898
2012,0.00057355931494385
2013,0.0005732232239097357
2014,0.0005322645301930606
2015,0.0005335428868420422
2016,0.0005491699557751417
2017,0.000492127554025501
2018,0.0004758662253152579
2019,0.0005041903350502253
