,some
1883,0.0011343160877004266
1884,0.001118261949159205
1885,0.001120124594308436
1886,0.0011095765512436628
1887,0.0010972472373396158
1888,0.0011060310062021017
1889,0.0010960965882986784
1890,0.0011091988999396563
1891,0.0010859972098842263
1892,0.001094067352823913
1893,0.0010759864235296845
1894,0.0010875931475311518
1895,0.001051708240993321
1896,0.0010656309314072132
1897,0.0010515415342524648
1898,0.0010532471351325512
1899,0.0010633306810632348
1900,0.0010671699419617653
1901,0.0010273586958646774
1902,0.0010456591844558716
1903,0.001036526751704514
1904,0.0010327979689463973
1905,0.0010258271358907223
1906,0.001022734446451068
1907,0.0010103372624143958
1908,0.0010215251240879297
1909,0.001010129344649613
1910,0.001013537752442062
1911,0.0010021779453381896
1912,0.0009932942921295762
1913,0.0009790676413103938
1914,0.0009748307638801634
1915,0.0009421325521543622
1916,0.0009603011421859264
1917,0.000925593136344105
1918,0.0009326678700745106
1919,0.0009525890345685184
1920,0.0009697154746390879
1921,0.0009453010861761868
1922,0.0009571255068294704
1923,0.0009509388473816216
1924,0.0009653405868448317
1925,0.0009398183319717646
1926,0.000964496866799891
1927,0.0009385077864862978
1928,0.0009597121388651431
1929,0.0009331271867267787
1930,0.000943282269872725
1931,0.0009104252094402909
1932,0.0009280429221689701
1933,0.0008980355341918766
1934,0.000930819078348577
1935,0.0009144659270532429
1936,0.0009089111117646098
1937,0.0009028750937432051
1938,0.0009059025323949754
1939,0.0008851852617226541
1940,0.0008931619813665748
1941,0.0008724346407689154
1942,0.0009101196192204952
1943,0.0009007104090414941
1944,0.0009219534695148468
1945,0.0009117571753449738
1946,0.0009268730645999312
1947,0.0009251565206795931
1948,0.0009308260632678866
1949,0.0009137365850619972
1950,0.0009428763878531754
1951,0.0009312476613558829
1952,0.0009536482393741608
1953,0.0009403795120306313
1954,0.0009419515845365822
1955,0.0009553757845424116
1956,0.0009645955287851393
1957,0.0009510236559435725
1958,0.0009613902075216174
1959,0.0009477247949689627
1960,0.0009526792564429343
1961,0.0009477802668698132
1962,0.0009527371148578823
1963,0.0009524588822387159
1964,0.0009562604827806354
1965,0.0009526678477413952
1966,0.000966416671872139
1967,0.0009702027309685946
1968,0.0009772991761565208
1969,0.0009748665033839643
1970,0.0009574566502124071
1971,0.0009380572591908276
1972,0.0009426597389392555
1973,0.0009131441474892199
1974,0.0009290684247389436
1975,0.0009098821319639683
1976,0.0008935225196182728
1977,0.0008870806777849793
1978,0.000869695853907615
1979,0.0008664627093821764
1980,0.0008754191803745925
1981,0.0008399199577979743
1982,0.000843245827127248
1983,0.0008427770808339119
1984,0.0008448727894574404
1985,0.0008234360138885677
1986,0.0008365088142454624
1987,0.000819647975731641
1988,0.0008219368755817413
1989,0.0008041422697715461
1990,0.0008121933788061142
1991,0.0008031894685700536
1992,0.0008039650274440646
1993,0.0007928564446046948
1994,0.0007931396248750389
1995,0.000776486995164305
1996,0.0008009411976672709
1997,0.0008103861473500729
1998,0.0008188356878235936
1999,0.000820513756480068
2000,0.0008462241385132074
2001,0.0008442922844551504
2002,0.0008647765498608351
2003,0.0008772153523750603
2004,0.0008861253736540675
2005,0.0008862251997925341
2006,0.0009037868003360927
2007,0.0009074385743588209
2008,0.000928797060623765
2009,0.0009581883205100894
2010,0.000985813094303012
2011,0.000999115640297532
2012,0.0009884255705401301
2013,0.0009997886372730136
2014,0.001006469246931374
2015,0.0009857824770733714
2016,0.0009779403917491436
2017,0.0009527808870188892
2018,0.0009486713097430766
2019,0.000941787613555789
