,high
1911,0.0002988017222378403
1912,0.0003028106002602726
1913,0.00031234996276907623
1914,0.0003080580208916217
1915,0.0003210107097402215
1916,0.0003340290277265012
1917,0.0003392077633179724
1918,0.00033133436227217317
1919,0.00034907658118754625
1920,0.0003576583112590015
1921,0.0003483064938336611
1922,0.000355978321749717
1923,0.0003569736727513373
1924,0.0003599156625568867
1925,0.00036868537426926196
1926,0.00035380542976781726
1927,0.00036593180266208947
1928,0.0003663070092443377
1929,0.0003738570085261017
1930,0.0003737728693522513
1931,0.00035907202982343733
1932,0.00037794437957927585
1933,0.0003693736798595637
1934,0.0003553222632035613
1935,0.00035412353463470936
1936,0.0003489192167762667
1937,0.0003658343630377203
1938,0.00036314144381321967
1939,0.00034913039417006075
1940,0.00036463295691646636
1941,0.00035524589475244284
1942,0.00037381917354650795
1943,0.00037334716762416065
1944,0.0003966629155911505
1945,0.00038699727156199515
1946,0.000384917831979692
1947,0.00039563540485687554
1948,0.00040227381396107376
1949,0.0003979858011007309
1950,0.0004022445064038038
1951,0.00039972725789994
1952,0.00039489357732236385
1953,0.0004025414527859539
1954,0.0004081923689227551
1955,0.00040783046279102564
1956,0.00041906541446223855
1957,0.00041036520269699395
1958,0.0004301285371184349
1959,0.00042554771061986685
1960,0.00042873219354078174
1961,0.0004251709033269435
1962,0.0004340718442108482
1963,0.00043073517736047506
1964,0.0004192606720607728
1965,0.0004181488184258342
1966,0.0004125283448956907
1967,0.00040339372935704887
1968,0.00040294855716638267
1969,0.0004023867077194154
1970,0.00040334276854991913
1971,0.00040314882062375546
1972,0.00041095956112258136
1973,0.0004006772069260478
1974,0.0004143065307289362
1975,0.0004154062771704048
1976,0.00041402768692933023
1977,0.0004132187459617853
1978,0.0004168729647062719
1979,0.00041842740029096603
1980,0.0004306429182179272
1981,0.0004282373411115259
1982,0.0004311787197366357
1983,0.0004414951254148036
1984,0.0004367703222669661
1985,0.0004358034348115325
1986,0.0004396271542645991
1987,0.00043217933853156865
1988,0.0004236666136421263
1989,0.00041841017082333565
1990,0.00042575705447234213
1991,0.0004223987052682787
1992,0.0004124991537537426
1993,0.00041487222188152373
1994,0.00041035719914361835
1995,0.00040593912126496434
1996,0.00040121187339536846
1997,0.00039637478766962886
1998,0.0003927512443624437
1999,0.0003823050356004387
2000,0.0003822936268988997
2001,0.0003763058048207313
2002,0.0003733684425242245
2003,0.0003735960344783962
2004,0.00038056846824474633
2005,0.00038444457459263504
2006,0.00037506702938117087
2007,0.0003684585099108517
2008,0.00035822889185510576
2009,0.0003537636948749423
2010,0.00034917076118290424
2011,0.00035710789961740375
2012,0.00038903445238247514
2013,0.0003688847064040601
2014,0.00033099789288826287
2015,0.000334457668941468
2016,0.00034348340705037117
2017,0.0003297789953649044
2018,0.0003265409904997796
2019,0.00034003047039732337
