,human
1897,0.00011586814798647538
1898,0.0001112244208343327
1899,0.00011857174831675366
1900,0.00011764070222852752
1901,0.00011006356362486258
1902,0.00011220505984965712
1903,0.00010933921294054016
1904,0.00010694329102989286
1905,0.00010405931971035898
1906,0.00010085911344503984
1907,0.00010795218986459076
1908,0.00010326140181859955
1909,0.00010709670459618792
1910,0.0001082309172488749
1911,0.0001033597145578824
1912,0.00010889038094319403
1913,0.00010795654088724405
1914,0.00010629840107867494
1915,0.00010249941260553896
1916,0.00010538385686231777
1917,0.00010828419908648357
1918,0.00010952227603411302
1919,0.00010950885916827247
1920,0.0001148106821347028
1921,0.00010960033250739798
1922,0.00011301779886707664
1923,0.00011374543828424066
1924,0.00011631484085228294
1925,0.000114139897050336
1926,0.00011776814062613994
1927,0.00012247165432199836
1928,0.00011608795466599986
1929,0.00011928555613849312
1930,0.00011640576121862978
1931,0.00011571663344511762
1932,0.00011593113595154136
1933,0.00011378842464182526
1934,0.00011983120930381119
1935,0.00011788262781919912
1936,0.00011695238208631054
1937,0.00011805118265328929
1938,0.00011968924081884325
1939,0.00011291167902527377
1940,0.00011418086796766147
1941,0.00010824998753378168
1942,0.00011887457367265597
1943,0.00011466820433270186
1944,0.0001198595273308456
1945,0.000120091404824052
1946,0.0001259384589502588
1947,0.00013358582509681582
1948,0.00013315242540556937
1949,0.00012626203533727676
1950,0.00013367852079682052
1951,0.00012629163393285125
1952,0.00012871669605374336
1953,0.00012994874850846827
1954,0.00012636913743335754
1955,0.0001324608747381717
1956,0.00013267422036733478
1957,0.0001336789136985317
1958,0.00013256001693662256
1959,0.00013551831943914294
1960,0.00014152491348795593
1961,0.00014368401025421917
1962,0.00015021665603853762
1963,0.0001494202733738348
1964,0.00014988728798925877
1965,0.0001510166475782171
1966,0.00015514480764977634
1967,0.00016870895342435688
1968,0.00017166792531497777
1969,0.0001739220169838518
1970,0.0001779925951268524
1971,0.00017683034820947796
1972,0.00017633756215218455
1973,0.00018173061835113913
1974,0.00017549603944644332
1975,0.00017658594879321754
1976,0.0001856875023804605
1977,0.000195043976418674
1978,0.0001969444565474987
1979,0.0001872071297839284
1980,0.00018244903185404837
1981,0.00018181261839345098
1982,0.00019024974608328193
1983,0.00019226888252887875
1984,0.00018824856670107692
1985,0.00019852432888001204
1986,0.00020619365386664867
1987,0.0002112978691002354
1988,0.00020728966046590358
1989,0.00021061667939648032
1990,0.00021816021762788296
1991,0.00021332298638299108
1992,0.0002079407568089664
1993,0.0002210963430115953
1994,0.00021819549147039652
1995,0.0002219448215328157
1996,0.00022753134544473141
1997,0.00022737588733434677
1998,0.00023601482098456472
1999,0.00023879569198470563
2000,0.00024037613184191287
2001,0.00024032755754888058
2002,0.0002494382206350565
2003,0.0002510579361114651
2004,0.0002529278863221407
2005,0.00026250313385389745
2006,0.0002618754515424371
2007,0.0002653611882124096
2008,0.00026405553217045963
2009,0.0002685649087652564
2010,0.00026316792354919016
2011,0.00025731773348525167
2012,0.0002743409131653607
2013,0.00028200779343023896
2014,0.0002616428828332573
2015,0.0002722533536143601
2016,0.00029254131368361413
2017,0.0002742559590842575
2018,0.00026749627431854606
2019,0.00028063057106919587
