,subject
1962,0.00024047258193604648
1963,0.0002468111924827099
1964,0.00023714033886790276
1965,0.00024249537091236562
1966,0.0002422584657324478
1967,0.00024353749176952988
1968,0.00024223410582635552
1969,0.0002486504672560841
1970,0.00024239678168669343
1971,0.00025020012981258333
1972,0.00024140362802427262
1973,0.00023793449508957565
1974,0.00023722717014607042
1975,0.000237760046729818
1976,0.00023684912594035268
1977,0.0002325400710105896
1978,0.00023009325377643108
1979,0.00022899314353708178
1980,0.0002198501897510141
1981,0.00022271955094765872
1982,0.00022276741219684482
1983,0.00021792609186377376
1984,0.00021054147509858012
1985,0.0002129631320713088
1986,0.00021138432202860713
1987,0.00021055575052741915
1988,0.00020831215078942478
1989,0.0002042899577645585
1990,0.00020312982087489218
1991,0.0002022002445301041
1992,0.0002041031257249415
1993,0.0002103762817569077
1994,0.00020086916629225016
1995,0.00020742198103107512
1996,0.00020384203526191413
1997,0.00020716810831800103
1998,0.00020509437308646739
1999,0.00020663590112235397
2000,0.0001996733626583591
2001,0.0001982907415367663
2002,0.00019597394566517323
2003,0.00019162349053658545
2004,0.0001856503658927977
2005,0.00018550362437963486
2006,0.00018465887114871293
2007,0.00017955504881683737
2008,0.00017983780708163977
2009,0.0001693093654466793
2010,0.00015590923430863768
2011,0.0001391897676512599
2012,0.00014037470100447536
2013,0.00015275819168891758
2014,0.00013884648797102273
2015,0.000133010747958906
2016,0.00013711863721255213
2017,0.00013061361096333712
2018,0.00013436307199299335
2019,0.00012872608203906566
