,city
1897,0.0003480646410025656
1898,0.0003302491386421025
1899,0.0003450974472798407
1900,0.00033319569774903357
1901,0.00035921167000196874
1902,0.00034010925446636975
1903,0.00033743400126695633
1904,0.00032039970392361283
1905,0.0003352150961291045
1906,0.00033717165933921933
1907,0.0003475503181107342
1908,0.0003219888894818723
1909,0.0003567027160897851
1910,0.00033430568873882294
1911,0.00036548866773955524
1912,0.0003535929718054831
1913,0.00036362753598950803
1914,0.00035278889117762446
1915,0.00039940208080224693
1916,0.0003626846009865403
1917,0.00033673408324830234
1918,0.00031315351952798665
1919,0.0003095823049079627
1920,0.00029022846138104796
1921,0.000297676888294518
1922,0.00028776272665709257
1923,0.0002832607424352318
1924,0.000272626057267189
1925,0.0002655275457073003
1926,0.00026630674256011844
1927,0.00027129604131914675
1928,0.0002589886134956032
1929,0.00026746446383185685
1930,0.0002597659477032721
1931,0.0002528065233491361
1932,0.00024651773856021464
1933,0.0002353205782128498
1934,0.00020535664225462824
1935,0.0002224018971901387
1936,0.00021986958745401353
1937,0.00022463526693172753
1938,0.00023248267825692892
1939,0.00022820000594947487
1940,0.00020988604228477925
1941,0.00021188982645981014
1942,0.0002008642622968182
1943,0.0002035336074186489
1944,0.0001872594584710896
1945,0.00019281402637716383
1946,0.00018692563753575087
1947,0.0001944615360116586
1948,0.00018840021220967174
1949,0.00019573024474084377
1950,0.00018479871505405754
1951,0.0001812783448258415
1952,0.00017854386533144861
1953,0.00018125119095202535
1954,0.00018005016318056732
1955,0.00017892794858198613
1956,0.0001635581284062937
1957,0.00018526127678342164
1958,0.00016209243040066212
1959,0.0001677952241152525
1960,0.00015604490181431174
1961,0.00016181184037122875
1962,0.00015481583250220865
1963,0.00016489600238855928
1964,0.00014510528126265854
1965,0.00016099022468551993
1966,0.00015534154954366386
1967,0.00017859952640719712
1968,0.0001659175759414211
1969,0.0001698995620245114
1970,0.00016482840874232352
1971,0.00016564481484238058
1972,0.00016406293434556574
1973,0.00015590872499160469
1974,0.00014855139306746423
1975,0.0001443312648916617
1976,0.00014194978575687855
1977,0.0001370345416944474
1978,0.00013416001456789672
1979,0.00013018868048675358
1980,0.00013137557834852487
1981,0.00012473705282900482
1982,0.00012327174772508442
1983,0.0001289443316636607
1984,0.00012262868403922766
1985,0.0001155745776486583
1986,0.00011652235843939707
1987,0.0001182836276711896
1988,0.00011918774544028565
1989,0.00011956986418226734
1990,0.00012441480066627264
1991,0.00012461231381166726
1992,0.00012836296809837222
1993,0.00014667573850601912
1994,0.00012619253539014608
1995,0.00012664617679547518
1996,0.00012997390876989812
1997,0.00013366092753130943
1998,0.00013484865485224873
1999,0.00013842168846167624
2000,0.00013845930516254157
2001,0.00014199364522937685
2002,0.000147928498336114
2003,0.00015511414676439017
2004,0.00014756900782231241
2005,0.000150019652210176
2006,0.00015248886484187096
2007,0.00015036108379717916
2008,0.00015216978499665856
2009,0.00015111493121366948
2010,0.00015725957928225398
2011,0.00014934186765458435
2012,0.00013291403593029827
2013,0.0001391498517477885
2014,0.0001490045979153365
2015,0.0001550880551803857
2016,0.0001579633535584435
2017,0.00016324415628332645
2018,0.0001540291414130479
2019,0.00016159522056113929
