,own
1886,0.0005096725653856993
1887,0.000505864794831723
1888,0.0005086952005513012
1889,0.0005001835525035858
1890,0.0005107776960358024
1891,0.0004919914063066244
1892,0.0005091321072541177
1893,0.0004928083508275449
1894,0.00048687405069358647
1895,0.00046043016482144594
1896,0.0004767992359120399
1897,0.0004577415238600224
1898,0.00046711915638297796
1899,0.0005021255929023027
1900,0.0004807903605978936
1901,0.00046078365994617343
1902,0.0004580232489388436
1903,0.0004422512720339
1904,0.00044517949572764337
1905,0.0004253916267771274
1906,0.0004249831836204976
1907,0.000420265132561326
1908,0.0004163953708484769
1909,0.00041471607983112335
1910,0.00041514949407428503
1911,0.00039686658419668674
1912,0.0003969794197473675
1913,0.0003851983055938035
1914,0.00038493171450681984
1915,0.00036901317071169615
1916,0.00037117372266948223
1917,0.00036963270395062864
1918,0.0003783580905292183
1919,0.00038643021252937615
1920,0.00039134215330705047
1921,0.00037319218972697854
1922,0.0003777915262617171
1923,0.00038155255606397986
1924,0.00038874943857081234
1925,0.00037829182110726833
1926,0.00039224233478307724
1927,0.0003879970754496753
1928,0.000383311155019328
1929,0.00038400935591198504
1930,0.0003818201366811991
1931,0.00037091958802193403
1932,0.00038214371306821704
1933,0.00037123175570741296
1934,0.00038423939258791506
1935,0.0003758626407943666
1936,0.00037848055944778025
1937,0.000370457157259807
1938,0.0003718715743161738
1939,0.0003655150067061186
1940,0.00036526055191643536
1941,0.0003510735114105046
1942,0.00036377072683535516
1943,0.0003619809867814183
1944,0.0003736998187378049
1945,0.0003684147377498448
1946,0.0003805751330219209
1947,0.0003821655991487205
1948,0.0003800954727921635
1949,0.00035841690259985626
1950,0.0003768561873584986
1951,0.00037085573421791196
1952,0.0003884697798639536
1953,0.00036930260830558836
1954,0.000369042536476627
1955,0.0003707727591972798
1956,0.0003734519414138049
1957,0.00036573217948898673
1958,0.0003671546874102205
1959,0.0003609522245824337
1960,0.00036904518492519855
1961,0.00036937682307325304
1962,0.0003716452338267118
1963,0.000369109126040712
1964,0.00036319869104772806
1965,0.0003740912361536175
1966,0.00037622477975673974
1967,0.00037949334364384413
1968,0.00039354636101052165
1969,0.0003918301372323185
1970,0.0003862405428662896
1971,0.0003677522763609886
1972,0.00036167449434287846
1973,0.000349573529092595
1974,0.00034793271333910525
1975,0.00033577781869098544
1976,0.0003320434771012515
1977,0.00033074835664592683
1978,0.0003259498917032033
1979,0.00032230289070867
1980,0.0003252025053370744
1981,0.0003216882178094238
1982,0.0003273958573117852
1983,0.0003261135134380311
1984,0.00032484973780810833
1985,0.00032017106423154473
1986,0.00032753695268183947
1987,0.0003294183989055455
1988,0.00033306994009763
1989,0.00032941935933195055
1990,0.00033126972266472876
1991,0.0003347124729771167
1992,0.00034381213481538
1993,0.0003476973797660321
1994,0.0003428925992920995
1995,0.00034333797520957887
1996,0.0003602495416998863
1997,0.0003646856639534235
1998,0.00037501947372220457
1999,0.00038386962842196226
2000,0.00039528380148112774
2001,0.00039318689960055053
2002,0.0004060674109496176
2003,0.00040943510248325765
2004,0.0004264635208528489
2005,0.00042213298729620874
2006,0.00043683519470505416
2007,0.00044324499322101474
2008,0.00046460836892947555
2009,0.0004840459441766143
2010,0.0004882233333773911
2011,0.0004844680952373892
2012,0.000446321937488392
2013,0.00047956034541130066
2014,0.0005067178863100708
2015,0.000506654498167336
2016,0.000495188869535923
2017,0.0005099878180772066
2018,0.0005148385534994304
2019,0.0005071568884886801
