,system
1971,0.0005499036051332951
1972,0.0005605084588751197
1973,0.0005599466385319829
1974,0.0005772673175670207
1975,0.00059295236133039
1976,0.0006044369074515998
1977,0.0006158883334137499
1978,0.000614362710621208
1979,0.0006178925978019834
1980,0.0006206609541550279
1981,0.000643754901830107
1982,0.0006106712389737368
1983,0.0006302813999354839
1984,0.0006249879370443523
1985,0.0006224666722118855
1986,0.0006281505920924246
1987,0.0006197032053023577
1988,0.0006032095989212394
1989,0.0005899179959669709
1990,0.0005966248572804034
1991,0.0006043316680006683
1992,0.0005866477149538696
1993,0.0005709712277166545
1994,0.0005774156888946891
1995,0.0005656806170009077
1996,0.000542456575203687
1997,0.0005346207180991769
1998,0.0005269399844110012
1999,0.0005090415943413973
2000,0.0004942332161590457
2001,0.00048098061233758926
2002,0.0004892972065135837
2003,0.0004911419237032533
2004,0.00046851992374286056
2005,0.0004679638659581542
2006,0.0004467629187274724
2007,0.000430206157034263
2008,0.00040278382948599756
2009,0.00040243123658001423
2010,0.00038965200656093657
2011,0.00039270002162083983
2012,0.0004408496606629342
2013,0.0004227086319588125
2014,0.00035572395427152514
2015,0.0003442679008003324
2016,0.0003762068517971784
2017,0.0003379754489287734
2018,0.0003344148863106966
2019,0.0003472926327958703
