,number
1979,0.0004957359633408487
1980,0.0004988659056834877
1981,0.0004900331259705126
1982,0.0004820684262085706
1983,0.0005043812561780214
1984,0.0004960632650181651
1985,0.00048683839850127697
1986,0.00048494257498532534
1987,0.0004800627357326448
1988,0.0004797441652044654
1989,0.0004796680295839906
1990,0.00047997335786931217
1991,0.0004736935079563409
1992,0.0004795643617399037
1993,0.00048197206342592835
1994,0.0004823248600587249
1995,0.0004758701252285391
1996,0.00046888424549251795
1997,0.0004654211807064712
1998,0.0004665977321565151
1999,0.0004614655626937747
2000,0.00044745291233994067
2001,0.0004432428104337305
2002,0.00043939927127212286
2003,0.0004464525845833123
2004,0.0004396209551487118
2005,0.0004347992071416229
2006,0.0004247446486260742
2007,0.00041548797162249684
2008,0.0003974589053541422
2009,0.00038314168341457844
2010,0.0003800989070441574
2011,0.00036417285446077585
2012,0.00038686380139552057
2013,0.00038034000317566097
2014,0.0003322309930808842
2015,0.0003252719761803746
2016,0.0003446769842412323
2017,0.00030952400993555784
2018,0.000298641505651176
2019,0.000308037648210302
