,e
1992,0.00013713946100324392
1993,0.00013460528862196952
1994,0.00013656125520356
1995,0.00015708534920122474
1996,0.00015535691636614501
1997,0.00016046363452915102
1998,0.0001582983386470005
1999,0.00017413950990885496
2000,0.0001800657919375226
2001,0.00019669084576889873
2002,0.00020280973694752902
2003,0.00018545986677054316
2004,0.00017921222024597228
2005,0.00017800196656025946
2006,0.00017503337585367262
2007,0.00016516058531124145
2008,0.00016408393275924027
2009,0.00015996296133380383
2010,0.00016471307026222348
2011,0.00016018036694731563
2012,0.0001533536851638928
2013,0.00014851494051981717
2014,0.00013742172450292856
2015,0.00013683357974514365
2016,0.00014860877126920968
2017,0.00018816997180692852
2018,0.0001906122051877901
2019,0.00013939556083641946
