,read
1907,0.00021116547577548772
1908,0.00019279940170235932
1909,0.0002055377117358148
1910,0.0001794831914594397
1911,0.00019886849622707814
1912,0.0001874288427643478
1913,0.00020467507420107722
1914,0.00017693298286758363
1915,0.00018972548423334956
1916,0.00017885066336020827
1917,0.00021430150081869215
1918,0.00016898084140848368
1919,0.00019648268062155694
1920,0.00018064842151943594
1921,0.00019265869923401624
1922,0.0001725805050227791
1923,0.00020085684082005173
1924,0.00018623752112034708
1925,0.00020177740952931345
1926,0.00017734589346218854
1927,0.00019363194587640464
1928,0.00017181663133669645
1929,0.00019963386876042932
1930,0.0001752561511239037
1931,0.00020794472948182374
1932,0.00016512542788404971
1933,0.00020270576351322234
1934,0.00017156063404399902
1935,0.0002083020517602563
1936,0.00017174122331198305
1937,0.00018340953101869673
1938,0.00016177468933165073
1939,0.0001902259245980531
1940,0.0001576305803610012
1941,0.00018641760107129812
1942,0.0001526287232991308
1943,0.00018408644245937467
1944,0.00016324539319612086
1945,0.00019241894187871367
1946,0.00016940747445914894
1947,0.00018571590771898627
1948,0.00015771713515277952
1949,0.00017020110681187361
1950,0.00015474336396437138
1951,0.00018120472668670118
1952,0.00015278090722858906
1953,0.0001740647421684116
1954,0.00015316656208597124
1955,0.00017916025535669178
1956,0.00015272382006514817
1957,0.0001794824202079326
1958,0.00014485105930361897
1959,0.0001628020836506039
1960,0.00013865453365724534
1961,0.0001557515060994774
1962,0.00013584675616584718
1963,0.0001529045548522845
1964,0.00013719068374484777
1965,0.00014996089157648385
1966,0.00013550411676988006
1967,0.0001485268003307283
1968,0.00014088979514781386
1969,0.00014905347779858857
1970,0.00013790521188639104
1971,0.0001421464839950204
1972,0.00012831013009417802
1973,0.00013211130863055587
1974,0.00011860243103001267
1975,0.00012742508260998875
1976,0.00011420741793699563
1977,0.00012527215585578233
1978,0.00011084340803790838
1979,0.00011886825814144686
1980,0.00010660928819561377
1981,0.00011442692630225793
1982,0.00010716576070990413
1983,0.00011908403394045308
1984,0.00010617206135066226
1985,0.00011983334115939215
1986,0.0001065831893356517
1987,0.00012481800513342023
1988,0.00011008678848156705
1989,0.00011845318658743054
1990,0.00010784742335090414
1991,0.00011837125202873722
1992,0.0001069791178451851
1993,0.00011865134001709521
1994,0.0001119075168389827
1995,0.0001234609808307141
1996,0.000114928261609748
1997,0.00012642331421375275
1998,0.00011964615987380967
1999,0.00013223417045082897
2000,0.0001271017681574449
2001,0.0001298374409088865
2002,0.0001316769194090739
2003,0.000133954337798059
2004,0.00013343874888960272
2005,0.00013421318726614118
2006,0.00013624780694954097
2007,0.00013973891327623278
2008,0.00014649824879597872
2009,0.00015255031757988036
2010,0.00015001176507212222
2011,0.00015165582590270787
2012,0.0001376448926748708
2013,0.00014119398838374764
2014,0.00015096891729626805
2015,0.00015068615903146565
2016,0.00014424658729694784
2017,0.00014684023335576057
2018,0.00014275188732426614
2019,0.00014251298853196204
