,found
1944,0.00042173065594397485
1945,0.00040502502815797925
1946,0.00041342704207636416
1947,0.00040868439828045666
1948,0.00042133370880037546
1949,0.00042395907803438604
1950,0.00043064483907073736
1951,0.0004184830468147993
1952,0.0004233727522660047
1953,0.0004273248487152159
1954,0.0004267294716555625
1955,0.0004178098461125046
1956,0.0004217592941131443
1957,0.00041684031020849943
1958,0.000424554425990209
1959,0.00041689741192385554
1960,0.000424073135945946
1961,0.00041399933979846537
1962,0.0004232603241689503
1963,0.00041425053495913744
1964,0.0004198199894744903
1965,0.0004102722741663456
1966,0.00040790034108795226
1967,0.0004020047199446708
1968,0.0004090836155228317
1969,0.00040417196578346193
1970,0.00039663165807724
1971,0.0003891836095135659
1972,0.0003902458993252367
1973,0.00037352702929638326
1974,0.00037512421840801835
1975,0.0003724098205566406
1976,0.0003723658446688205
1977,0.00036373830516822636
1978,0.00036525927134789526
1979,0.00036386880674399436
1980,0.0003682974202092737
1981,0.00036562953027896583
1982,0.0003649262071121484
1983,0.00036439287941902876
1984,0.0003603546938393265
1985,0.0003611842112150043
1986,0.0003602247452363372
1987,0.00036104858736507595
1988,0.00035621036658994853
1989,0.0003455113619565964
1990,0.0003495665732771158
1991,0.00034906063228845596
1992,0.0003436088445596397
1993,0.00033970759250223637
1994,0.00033556242124177516
1995,0.00033082751906476915
1996,0.0003403252921998501
1997,0.00034185178810730577
1998,0.000348723930073902
1999,0.0003464910259936005
2000,0.000351736496668309
2001,0.0003519390011206269
2002,0.0003529390669427812
2003,0.00035981295513920486
2004,0.00036567397182807326
2005,0.00036344584077596664
2006,0.00037030974635854363
2007,0.0003750869946088642
2008,0.00038499923539347947
2009,0.0003860901342704892
2010,0.00038700373261235654
2011,0.00038997974479570985
2012,0.00040815959800966084
2013,0.00039976873085834086
2014,0.00039541764999739826
2015,0.0003885404148604721
2016,0.00038162717828527093
2017,0.00039246267988346517
2018,0.00039023725548759103
2019,0.0003937459259759635
