,following
1979,0.00035289357765577734
1980,0.0003434651589486748
1981,0.0003507257788442075
1982,0.00033461450948379934
1983,0.00034431772655807436
1984,0.0003311362524982542
1985,0.00033990872907452285
1986,0.00032983827986754477
1987,0.0003359751426614821
1988,0.00033486957545392215
1989,0.00032672769157215953
1990,0.00032716235728003085
1991,0.0003335461369715631
1992,0.00032829269184730947
1993,0.000329571426846087
1994,0.000324246910167858
1995,0.00033240049378946424
1996,0.0003277759242337197
1997,0.00033555907430127263
1998,0.0003295808273833245
1999,0.0003321217664051801
2000,0.00031865169876255095
2001,0.00032155748340301216
2002,0.0003125446673948318
2003,0.0003195234457962215
2004,0.000312810210743919
2005,0.0003122292982880026
2006,0.0003121871850453317
2007,0.00030043223523534834
2008,0.0002969014458358288
2009,0.00028818982536904514
2010,0.0002883177367039025
2011,0.0002774277236312628
2012,0.0002780305512715131
2013,0.00027114860131405294
2014,0.0002545275492593646
2015,0.0002588564238976687
2016,0.0002566775365266949
2017,0.00023278499429579824
2018,0.00022817311401013285
2019,0.00023889835574664176
