,down
2006,0.00042099092388525605
2007,0.0004479480558075011
2008,0.0004858678439632058
2009,0.0005452340701594949
2010,0.0005900209653191268
2011,0.000651571957860142
2012,0.0006039364961907268
2013,0.0006002460140734911
2014,0.0007127521093934774
2015,0.0006866142502985895
2016,0.000625537009909749
2017,0.000694364367518574
2018,0.0006581470370292664
2019,0.0006659922073595226
