,small
1895,0.00034845821210183203
1896,0.0003543897473718971
1897,0.00034938560565933585
1898,0.00035775965079665184
1899,0.00033551882370375097
1900,0.00035632349317893386
1901,0.0003409487835597247
1902,0.00036353906034491956
1903,0.00035805950756184757
1904,0.00036987397470511496
1905,0.0003740082320291549
1906,0.0003649405261967331
1907,0.00036807512515224516
1908,0.00037404472823254764
1909,0.0003686755371745676
1910,0.00037228615838102996
1911,0.00038170645711943507
1912,0.0003703282854985446
1913,0.0003720367676578462
1914,0.0003711952012963593
1915,0.00036253032158128917
1916,0.00037143586087040603
1917,0.0003645780961960554
1918,0.0003602102806326002
1919,0.0003634092281572521
1920,0.0003739170788321644
1921,0.0003699613444041461
1922,0.00037419903674162924
1923,0.0003824885352514684
1924,0.0003710554738063365
1925,0.0003765268484130502
1926,0.0003773221105802804
1927,0.00037258281372487545
1928,0.0003830119385384023
1929,0.0003712621983140707
1930,0.0003783373686019331
1931,0.0003675032057799399
1932,0.00037473501288332045
1933,0.00036717558396048844
1934,0.0003771978663280606
1935,0.0003624992968980223
1936,0.00036346050910651684
1937,0.0003735052887350321
1938,0.0003742769476957619
1939,0.00035905541153624654
1940,0.0003741165855899453
1941,0.00036226079100742936
1942,0.0003848340129479766
1943,0.00036857585655525327
1944,0.000381538993678987
1945,0.0003700156812556088
1946,0.00036830417229793966
1947,0.00036589064984582365
1948,0.0003703257243614644
1949,0.0003812932700384408
1950,0.00037586953840218484
1951,0.0003727689036168158
1952,0.0003715724451467395
1953,0.00037673706538043916
1954,0.0003683326649479568
1955,0.00036754750180989504
1956,0.00038214915548451245
1957,0.0003734026395250112
1958,0.000384936312912032
1959,0.00037760628038085997
1960,0.0003738752566277981
1961,0.0003658033674582839
1962,0.00036778682260774076
1963,0.00036564876791089773
1964,0.00036006493610329926
1965,0.0003506729262880981
1966,0.0003492942778393626
1967,0.00033928523771464825
1968,0.0003429720818530768
1969,0.00034102718927897513
1970,0.00033036936656571925
1971,0.0003281222016084939
1972,0.00033331135637126863
1973,0.00031790570938028395
1974,0.0003247142885811627
1975,0.0003255623742006719
1976,0.0003233349707443267
1977,0.0003228937857784331
1978,0.00032753488630987704
1979,0.00032651651417836547
1980,0.0003379205008968711
1981,0.0003279003722127527
1982,0.00032293936237692833
1983,0.0003249144065193832
1984,0.00032665141043253243
1985,0.0003167590475641191
1986,0.0003158500767312944
1987,0.00031114151352085173
1988,0.00030867254827171564
1989,0.00030264357337728143
1990,0.0003050006926059723
1991,0.0003022126038558781
1992,0.00030420682742260396
1993,0.00030245218658819795
1994,0.0003042738535441458
1995,0.00029723861371167004
1996,0.0003029876097571105
1997,0.00030412248452194035
1998,0.00030525264446623623
1999,0.0002977601543534547
2000,0.0003047481586690992
2001,0.00030149996746331453
2002,0.0002998549025505781
2003,0.0003027802158612758
2004,0.0003038312715943903
2005,0.00030528820934705436
2006,0.00030082519515417516
2007,0.00030636577866971493
2008,0.0003050323866773397
2009,0.00031227877479977906
2010,0.0003229007124900818
2011,0.00032927218126133084
2012,0.0003372403734829277
2013,0.0003223413659725338
2014,0.0003154359292238951
2015,0.0003113556595053524
2016,0.00030642913770861924
2017,0.0002975290990434587
2018,0.0002908678725361824
2019,0.00030659724143333733
