,view
1894,0.0001906358083942905
1895,0.00019109674030914903
1896,0.00018789924797601998
1897,0.00019053847063332796
1898,0.0001880147901829332
1899,0.00018339762755203992
1900,0.00018651819846127182
1901,0.00018740902305580676
1902,0.0001972205500351265
1903,0.00019647552107926458
1904,0.00019737044931389391
1905,0.00019804274779744446
1906,0.0001997320941882208
1907,0.0002008157316595316
1908,0.0002038022066699341
1909,0.0002007879811571911
1910,0.0001994893973460421
1911,0.000200734575628303
1912,0.0002037949743680656
1913,0.00020017412316519767
1914,0.00020489870803430676
1915,0.00019810542289633304
1916,0.0001999607920879498
1917,0.00020211389346513897
1918,0.0002106526226270944
1919,0.00021314974583219737
1920,0.00021530546655412763
1921,0.00021348579321056604
1922,0.00021161686163395643
1923,0.00020292888802941889
1924,0.00020562381541822106
1925,0.00020167884940747172
1926,0.00020697424770332873
1927,0.00019331567455083132
1928,0.0002055141085293144
1929,0.00019931839779019356
1930,0.00020248607324901968
1931,0.00019885413348674774
1932,0.00020761584164574742
1933,0.00020375954045448452
1934,0.00020866200793534517
1935,0.00019910391711164266
1936,0.00019950669957324862
1937,0.00019667489686980844
1938,0.00020234347903169692
1939,0.00018983960035257041
1940,0.0001918549241963774
1941,0.00017704974743537605
1942,0.00018125848146155477
1943,0.0001824805949581787
1944,0.000181956376763992
1945,0.0001875713060144335
1946,0.00020559037511702627
1947,0.00020368816331028938
1948,0.00020001368829980493
1949,0.0001851529668783769
1950,0.00019666455045808107
1951,0.00019325624452903867
1952,0.00019778469868469983
1953,0.0001925621909322217
1954,0.0001899193593999371
1955,0.0001938881614478305
1956,0.00019868137314915657
1957,0.00019427627557888627
1958,0.00019790853548329324
1959,0.00019552143930923194
1960,0.00019968629931099713
1961,0.00019844107737299055
1962,0.00020344494259916246
1963,0.0001969994482351467
1964,0.00020176952239125967
1965,0.00019450258696451783
1966,0.00020572861831169575
1967,0.00020153984951321036
1968,0.0002033176424447447
1969,0.00020575201779138297
1970,0.00019862502813339233
1971,0.00019763235468417406
1972,0.000197446730453521
1973,0.00019207327568437904
1974,0.0001979487424250692
1975,0.00019274668011348695
1976,0.00018842596909962595
1977,0.00018823001300916076
1978,0.00018219514458905905
1979,0.00018234760500490665
1980,0.00018106188508681953
1981,0.00017848146671894938
1982,0.00018070425721816719
1983,0.00017841158842202276
1984,0.00017694805865176022
1985,0.00017525147995911539
1986,0.0001787485380191356
1987,0.00017527662566863
1988,0.00017561434651724994
1989,0.00017293296696152538
1990,0.00017379796190652996
1991,0.000173573091160506
1992,0.0001734749530442059
1993,0.00016804240294732153
1994,0.00016990667791105807
1995,0.0001696623075986281
1996,0.0001738147111609578
1997,0.00017765548545867205
1998,0.00018028788326773793
1999,0.00018146014190278947
2000,0.00017993073561228812
2001,0.000177988491486758
2002,0.00018680097127798945
2003,0.00018488889327272773
2004,0.0001837205927586183
2005,0.00018193879805039614
2006,0.00018442045256961137
2007,0.00018484692554920912
2008,0.0001809325913200155
2009,0.00018238669144921005
2010,0.00018588019884191453
2011,0.00017566417227499187
2012,0.00017331608978565782
2013,0.00018859725969377905
2014,0.00017340171325486153
2015,0.0001753611577441916
2016,0.00018050461949314922
2017,0.00016656130901537836
2018,0.0001623032585484907
2019,0.00016216575750149786
