,free
1956,0.00021247260156087577
1957,0.0002026293659582734
1958,0.00021372144692577422
1959,0.00021145275968592614
1960,0.0002105739840772003
1961,0.00021190923871472478
1962,0.0002131056971848011
1963,0.00020505522843450308
1964,0.0002022269763983786
1965,0.000204501673579216
1966,0.00020214455435052514
1967,0.00019840881577692926
1968,0.00020150787895545363
1969,0.00020324840443208814
1970,0.0001964156108442694
1971,0.00019332252850290388
1972,0.00018900133727584034
1973,0.00018485801410861313
1974,0.00018382394046057016
1975,0.00018143757188227028
1976,0.00017895085329655558
1977,0.00017741048941388726
1978,0.00017579324776306748
1979,0.00017868382565211505
1980,0.00017771765124052763
1981,0.0001808138913474977
1982,0.00018086470663547516
1983,0.0001804267812985927
1984,0.00018027097394224256
1985,0.00018096134590450674
1986,0.00018528899818193167
1987,0.00018476105469744653
1988,0.00018454375094734132
1989,0.00018116536375600845
1990,0.00018499765428714454
1991,0.00018613366410136223
1992,0.00018342057592235506
1993,0.00018262311641592532
1994,0.00017983472207561135
1995,0.00017876047058962286
1996,0.00018074303807225078
1997,0.00018198639736510813
1998,0.00018079376604873687
1999,0.00017893010226543993
2000,0.0001802554470486939
2001,0.00017610297072678804
2002,0.0001758180296747014
2003,0.00018035776156466454
2004,0.00018039463611785322
2005,0.00018189915863331407
2006,0.00017955714429263026
2007,0.00018107914365828037
2008,0.00017790403217077255
2009,0.000180846982402727
2010,0.0001788163062883541
2011,0.00017938207020051777
2012,0.00018616265151649714
2013,0.00017919257516041398
2014,0.00017262822075281292
2015,0.00017404209938831627
2016,0.0001757474965415895
2017,0.00017077397205866873
2018,0.00016867060912773013
2019,0.0001721980661386624
