,United States,Canada,Mexico,Brazil,Argentina,Peru,Colombia,China,Japan,South Korea,Vietnam,Thailand,Malaysia,Indonesia,Singapore,Philippines,India,Pakistan,Kazakhstan,Afghanistan,Egypt,Iran,Türkiye,Iraq,Saudi Arabia,United Kingdom,France,Germany,Russia,Serbia,Sweden,Norway,Italy,Spain,Greece,Morocco,Algeria,South Africa,Nigeria,Ethiopia,Tanzania,Kenya,Australia,New Zealand
Spain,0.54573286,0.60465235,0.7171785,0.78405106,0.7690859,0.7094082,0.7613154,0.5084138,0.5335154,0.5353766,0.5500727,0.61014044,0.5906636,0.5564317,0.5407852,0.65732354,0.56568575,0.5174856,0.56400603,0.47800288,0.67293733,0.6519735,0.635955,0.51298773,0.610207,0.6909135,0.7925026,0.71593606,0.60750955,0.72232586,0.69313747,0.67421913,0.7560399,0.99999994,0.6928821,0.7240329,0.64004326,0.6832091,0.6633881,0.54247063,0.5323197,0.5629868,0.69770896,0.63872766
Greece,0.5020269,0.5475535,0.60437554,0.543986,0.59615487,0.59579337,0.5653408,0.502579,0.53584445,0.5119126,0.49273837,0.5435703,0.52143514,0.5194856,0.48391417,0.53844124,0.519796,0.49035412,0.57759595,0.5224499,0.7419664,0.6395342,0.6594962,0.5978613,0.6014116,0.5835898,0.673619,0.6470351,0.58248824,0.6710431,0.6439744,0.6776873,0.72638,0.6928821,0.9999996,0.64715326,0.61489815,0.6308431,0.56620425,0.6211316,0.5541659,0.55730885,0.6243444,0.6210019
Morocco,0.4731167,0.5048558,0.7015966,0.68816274,0.70693296,0.7468568,0.70746386,0.46157268,0.52413535,0.5755832,0.5919386,0.6295412,0.62867385,0.6240068,0.50570357,0.63149214,0.5772117,0.563721,0.6340006,0.598638,0.80789995,0.75442535,0.68766856,0.6073716,0.7683396,0.55127275,0.70138246,0.618862,0.6117286,0.73736894,0.7205841,0.6752741,0.6654828,0.7240329,0.64715326,1.0000001,0.7483455,0.74482995,0.78465915,0.6635095,0.6375792,0.6743996,0.69262606,0.58642113
Algeria,0.53660184,0.51647097,0.61057204,0.6235471,0.66897845,0.66567796,0.6791053,0.5207907,0.4880772,0.5119716,0.6015771,0.5744439,0.6127186,0.6245301,0.48687318,0.6434862,0.63576597,0.7019654,0.6753602,0.6939334,0.7824741,0.7282675,0.70211804,0.72928065,0.7207937,0.6105436,0.6907884,0.6110173,0.6746016,0.6862863,0.63978523,0.6391295,0.59982216,0.64004326,0.61489815,0.7483455,1.0000001,0.74620485,0.7660551,0.70043886,0.7195945,0.66072893,0.63438576,0.5330407
South Africa,0.6300201,0.70680356,0.759725,0.72359467,0.7366503,0.7742892,0.7415775,0.5917198,0.5571486,0.57784486,0.664379,0.700144,0.7326151,0.7199918,0.62238127,0.7262572,0.6577112,0.62811506,0.67870796,0.66039157,0.73525316,0.6753928,0.6528805,0.66941833,0.69135094,0.6530877,0.71970886,0.674669,0.6756484,0.69432044,0.70091105,0.7174419,0.6800804,0.6832091,0.6308431,0.74482995,0.74620485,0.9999999,0.7675131,0.76223296,0.78897166,0.79525036,0.81951135,0.74921036
Nigeria,0.5168096,0.54722667,0.69569236,0.72432345,0.76582915,0.77208304,0.75702816,0.4761822,0.5020583,0.5994143,0.5816811,0.609388,0.61536556,0.6351921,0.48332244,0.630335,0.5782802,0.60646015,0.6510054,0.59303576,0.7527512,0.74114984,0.63469285,0.66333145,0.8036957,0.53581315,0.62235427,0.6032367,0.6439431,0.7604501,0.6877691,0.6340991,0.59304446,0.6633881,0.56620425,0.78465915,0.7660551,0.7675131,0.9999997,0.65480286,0.6408556,0.65650934,0.7043047,0.55385816
Ethiopia,0.5147906,0.57646894,0.6184597,0.5433899,0.5374357,0.64154416,0.5754184,0.55479896,0.47698832,0.45298424,0.64530367,0.61155814,0.6601618,0.7042176,0.52401286,0.65181524,0.67958415,0.6608467,0.7068677,0.7023003,0.7062071,0.62265354,0.6221214,0.66552055,0.5967283,0.5771231,0.60136104,0.5756546,0.6005837,0.562934,0.56813073,0.60868186,0.59497666,0.54247063,0.6211316,0.6635095,0.70043886,0.76223296,0.65480286,1.0000004,0.84368193,0.8728647,0.642255,0.6101754
Tanzania,0.5233551,0.6089921,0.59969693,0.56388664,0.53965676,0.6768511,0.60967404,0.5313793,0.42515433,0.41918018,0.6218309,0.6217828,0.67228097,0.70763654,0.5498831,0.6667559,0.6765955,0.6812363,0.6461203,0.69387096,0.6595652,0.5673738,0.5914453,0.6377187,0.5717059,0.5755635,0.5712585,0.5203117,0.569871,0.5599826,0.5396451,0.6203243,0.50637454,0.5323197,0.5541659,0.6375792,0.7195945,0.78897166,0.6408556,0.84368193,1.0000004,0.862208,0.69976807,0.6759639
Kenya,0.5045635,0.62521803,0.6210912,0.571149,0.5451437,0.6776329,0.59493804,0.506268,0.42578375,0.43409115,0.59332186,0.64313763,0.68950194,0.7149367,0.5311372,0.66190124,0.64878494,0.61630136,0.6768558,0.63540053,0.656881,0.57587564,0.6067349,0.5872203,0.5703093,0.60519224,0.6057693,0.5325665,0.57681936,0.58741516,0.5754114,0.6566017,0.54785883,0.5629868,0.55730885,0.6743996,0.66072893,0.79525036,0.65650934,0.8728647,0.862208,0.9999999,0.6952338,0.68665564
Australia,0.7063786,0.835164,0.711494,0.6722478,0.6675173,0.739176,0.7307302,0.65306157,0.6861265,0.6497914,0.6753453,0.71577305,0.75463605,0.7166404,0.70171124,0.7744962,0.63844186,0.602238,0.63005906,0.5580959,0.65584993,0.66680616,0.6430017,0.59514713,0.656223,0.7426531,0.7114182,0.7155525,0.6553918,0.69060594,0.7417768,0.7736619,0.64328235,0.69770896,0.6243444,0.69262606,0.63438576,0.81951135,0.7043047,0.642255,0.69976807,0.6952338,1.0000002,0.85177296
New Zealand,0.61970484,0.8491336,0.6239202,0.5469453,0.54160804,0.67139924,0.6026162,0.56958425,0.58420926,0.51277333,0.55256057,0.68386513,0.72202104,0.6484857,0.67447156,0.6370613,0.5629908,0.5001757,0.5963944,0.47211346,0.53613436,0.50488853,0.5369587,0.47039017,0.49781233,0.6888569,0.6639145,0.6267723,0.5316498,0.5740145,0.638869,0.7536522,0.60803497,0.63872766,0.6210019,0.58642113,0.5330407,0.74921036,0.55385816,0.6101754,0.6759639,0.68665564,0.85177296,1.0000002
